project_id,state,district,constituency,mp_name,sector,title,description,village,block,latitude,longitude,sanctioned_amount,estimated_cost,expenditure,recommendation_date,sanction_date,start_date,completion_date,status,contractor_name,implementing_agency
MPL-00022,Gujarat,Rajkot,Rajkot,P. Rupala,Drinking Water & Sanitation,Drilling of Deep Borewell and Overhead Tank Setup at Village-10,Drilling of Deep Borewell and Overhead Tank Setup at Village-10,Village-10,Block-6,22.42358,70.71522,837151.0,844058.3,623198.76,2023-04-14,2023-05-11,2023-05-28,2023-08-06,Completed,Bharat Engineers & Builders,Public Works Department (PWD)
MPL-00023,Madhya Pradesh,Indore,Indore,S. Lalwani,Renewable Energy,Installation of Solar LED High-Mast Lighting System at Village-61,Installation of Solar LED High-Mast Lighting System at Village-61,Village-61,Block-5,22.84695,75.94242,485197.0,508302.37,457653.1,2024-02-12,2024-02-27,2024-03-14,,In Progress,Vanguard Infra Solutions,Rural Engineering Service (RES)
MPL-00024,Gujarat,Rajkot,Rajkot,P. Rupala,Education & Schools,Construction of Additional Classrooms at Govt High School Village-121,Construction of Additional Classrooms at Govt High School Village-121,Village-121,Block-5,22.22078,70.85021,1666477.0,1616411.5,1625707.59,2023-12-13,2023-12-25,2024-01-28,2024-05-25,Completed,Vanguard Infra Solutions,District Rural Development Agency (DRDA)
MPL-00025,Rajasthan,Jaipur,Jaipur,M. Joshi,Rural Connectivity & Roads,Widening of Rural Link Road connecting Village-131,Widening of Rural Link Road connecting Village-131,Village-131,Block-2,27.05352,75.69087,3676372.0,3742369.54,3503944.08,2023-11-07,2023-12-06,2023-12-22,,In Progress,Sai Urban Works Pvt Ltd,Public Works Department (PWD)
MPL-00026,Madhya Pradesh,Indore,Indore,S. Lalwani,Rural Connectivity & Roads,Widening of Rural Link Road connecting Village-81,Widening of Rural Link Road connecting Village-81,Village-81,Block-4,22.58292,75.83852,3830368.0,3871049.9,3268939.16,2024-01-09,2024-01-30,2024-03-21,,In Progress,Reliable Works Corporation,Minor Irrigation Division
MPL-00027,Madhya Pradesh,Indore,Indore,S. Lalwani,Community Infrastructure,Installation of Public Shed and Seating Area at Village-85,Installation of Public Shed and Seating Area at Village-85,Village-85,Block-4,22.66745,75.91686,726712.0,713189.03,693577.26,2023-10-12,2023-11-04,2023-12-21,2024-06-02,Completed,Reliable Works Corporation,Rural Engineering Service (RES)
MPL-00028,Madhya Pradesh,Indore,Indore,S. Lalwani,Drinking Water & Sanitation,Drilling of Deep Borewell and Overhead Tank Setup at Village-146,Drilling of Deep Borewell and Overhead Tank Setup at Village-146,Village-146,Block-8,22.80533,75.8897,765568.0,758377.42,727379.59,2023-10-15,2023-11-08,2023-12-11,,In Progress,Kisan Rural Developers,Municipal Corporation
MPL-00029,Bihar,Patna,Patna Sahib,R. S. Prasad,Renewable Energy,Supply and installation of 25 Solar Street Lights in Village-44,Supply and installation of 25 Solar Street Lights in Village-44,Village-44,Block-1,25.64594,85.05499,845427.0,810324.49,722532.01,2024-09-29,2024-10-10,2024-12-03,2025-04-02,Completed,Bharat Engineers & Builders,Rural Engineering Service (RES)
MPL-00030,Bihar,Patna,Patna Sahib,R. S. Prasad,Education & Schools,Solar Rooftop Power System installation for School at Village-19,Solar Rooftop Power System installation for School at Village-19,Village-19,Block-7,25.564,85.03187,738769.0,732448.17,656713.64,2023-07-02,2023-07-19,2023-09-17,2024-03-21,Completed,Apex Infrastructure Ltd,Public Works Department (PWD)
MPL-00031,Maharashtra,Nagpur,Nagpur,N. Gadkari,Renewable Energy,Supply and installation of 25 Solar Street Lights in Village-13,Supply and installation of 25 Solar Street Lights in Village-13,Village-13,Block-10,21.15514,79.10588,792241.0,772371.46,756194.75,2024-03-17,2024-04-12,2024-05-05,2024-12-21,Completed,Kisan Rural Developers,Municipal Corporation
MPL-00032,Madhya Pradesh,Indore,Indore,S. Lalwani,Renewable Energy,Supply and installation of 25 Solar Street Lights in Village-41,Supply and installation of 25 Solar Street Lights in Village-41,Village-41,Block-8,22.8029,75.85308,889889.0,922058.03,743075.94,2023-08-30,2023-09-11,2023-11-05,,In Progress,Bharat Engineers & Builders,District Rural Development Agency (DRDA)
MPL-00033,Rajasthan,Jaipur,Jaipur,M. Joshi,Drinking Water & Sanitation,Construction of Public Toilets and Sanitation Block in Village-86,Construction of Public Toilets and Sanitation Block in Village-86,Village-86,Block-9,26.97433,75.65657,935239.0,971996.4,677275.11,2023-05-11,2023-06-04,2023-07-03,2023-10-10,Completed,Vanguard Infra Solutions,District Rural Development Agency (DRDA)
MPL-00034,Madhya Pradesh,Indore,Indore,S. Lalwani,Community Infrastructure,Construction of Community Hall at Village Village-108,Construction of Community Hall at Village Village-108,Village-108,Block-9,22.85242,75.79728,1816792.0,1890342.73,1590099.64,2022-12-25,2023-01-21,2023-03-13,2023-05-13,Completed,Vanguard Infra Solutions,Municipal Corporation
MPL-00035,Bihar,Patna,Patna Sahib,R. S. Prasad,Education & Schools,Construction of Additional Classrooms at Govt High School Village-70,Construction of Additional Classrooms at Govt High School Village-70,Village-70,Block-1,25.69625,85.26346,2114014.0,2110978.7,1726424.67,2024-10-24,2024-11-15,2025-01-12,2025-04-24,Completed,Local Panchayat Works Unit,Minor Irrigation Division
MPL-00036,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Community Infrastructure,Installation of Public Shed and Seating Area at Village-110,Installation of Public Shed and Seating Area at Village-110,Village-110,Block-7,25.26565,83.05227,471145.0,488429.02,355487.72,2023-09-06,2023-09-24,2023-11-02,2024-04-26,Completed,Vanguard Infra Solutions,District Rural Development Agency (DRDA)
MPL-00037,Gujarat,Rajkot,Rajkot,P. Rupala,Education & Schools,Construction of Additional Classrooms at Govt High School Village-139,Construction of Additional Classrooms at Govt High School Village-139,Village-139,Block-1,22.16598,70.66151,1309231.0,1374680.48,1053915.38,2024-09-28,2024-10-27,2024-11-15,2025-06-29,Completed,Bharat Engineers & Builders,Rural Engineering Service (RES)
MPL-00038,Maharashtra,Nagpur,Nagpur,N. Gadkari,Drinking Water & Sanitation,Installation of RO Water Purification Plant at Village-122,Installation of RO Water Purification Plant at Village-122,Village-122,Block-5,21.17797,79.16258,619946.0,623911.77,474500.07,2023-09-07,2023-09-20,2023-10-28,,In Progress,Shree Ganesh Construction Co,Rural Engineering Service (RES)
MPL-00039,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Rural Connectivity & Roads,Widening of Rural Link Road connecting Village-97,Widening of Rural Link Road connecting Village-97,Village-97,Block-10,25.19817,83.05564,3663689.0,3825430.1,2782567.89,2024-08-18,2024-08-29,2024-10-27,2025-02-26,Completed,Local Panchayat Works Unit,Public Works Department (PWD)
MPL-00040,Kerala,Wayanad,Wayanad,P. Gandhi,Renewable Energy,Supply and installation of 25 Solar Street Lights in Village-95,Supply and installation of 25 Solar Street Lights in Village-95,Village-95,Block-7,11.82364,76.17268,536153.0,536472.59,430192.74,2024-02-20,2024-03-06,2024-04-21,,In Progress,Surya Shakti Engineering,Rural Engineering Service (RES)
MPL-00041,Rajasthan,Jaipur,Jaipur,M. Joshi,Renewable Energy,Supply and installation of 25 Solar Street Lights in Village-120,Supply and installation of 25 Solar Street Lights in Village-120,Village-120,Block-10,26.84608,75.77254,728366.0,752091.4,639317.71,2023-11-05,2023-11-27,2023-12-27,2024-03-18,Completed,Surya Shakti Engineering,Minor Irrigation Division
MPL-00042,Kerala,Wayanad,Wayanad,P. Gandhi,Community Infrastructure,Supply and installation of 25 Solar Street Lights in Village-42,Supply and installation of 25 Solar Street Lights in Village-42,Village-84,Block-9,11.71425,76.24603,8500000.0,8700000.0,8500000.0,2023-09-06,2023-09-22,2023-10-28,,In Progress,Reliable Works Corporation,Public Works Department (PWD)
MPL-00043,Gujarat,Rajkot,Rajkot,P. Rupala,Drinking Water & Sanitation,Drilling of Deep Borewell and Overhead Tank Setup at Village-105,Drilling of Deep Borewell and Overhead Tank Setup at Village-105,Village-105,Block-4,22.39178,70.68012,962311.0,967620.67,742997.61,2024-04-13,2024-05-02,2024-06-27,2024-12-18,Completed,Bharat Engineers & Builders,Municipal Corporation
MPL-00044,Kerala,Wayanad,Wayanad,P. Gandhi,Education & Schools,Solar Rooftop Power System installation for School at Village-136,Solar Rooftop Power System installation for School at Village-136,Village-136,Block-2,11.62739,76.05116,680227.0,675159.57,628380.53,2023-11-08,2023-12-05,2024-01-11,2024-05-19,Completed,Bharat Engineers & Builders,District Rural Development Agency (DRDA)
MPL-00045,Maharashtra,Nagpur,Nagpur,N. Gadkari,Drinking Water & Sanitation,Installation of RO Water Purification Plant at Village-124,Installation of RO Water Purification Plant at Village-124,Village-124,Block-3,21.02596,78.99644,789930.0,807670.64,784386.36,2024-06-02,2024-06-21,2024-08-13,,In Progress,Bharat Engineers & Builders,District Rural Development Agency (DRDA)
MPL-00046,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Renewable Energy,Installation of Solar LED High-Mast Lighting System at Village-71,Installation of Solar LED High-Mast Lighting System at Village-71,Village-71,Block-8,25.19838,82.82758,423863.0,443966.61,367068.62,2023-04-16,2023-05-10,2023-07-04,2024-01-05,Completed,Sai Urban Works Pvt Ltd,Municipal Corporation
MPL-00047,Kerala,Wayanad,Wayanad,P. Gandhi,Drinking Water & Sanitation,Installation of RO Water Purification Plant at Village-65,Installation of RO Water Purification Plant at Village-65,Village-65,Block-2,11.55148,76.02676,1000935.0,962307.63,720275.86,2024-05-01,2024-05-18,2024-06-06,2025-01-27,Completed,Local Panchayat Works Unit,District Rural Development Agency (DRDA)
MPL-00048,Gujarat,Rajkot,Rajkot,P. Rupala,Renewable Energy,Supply and installation of 25 Solar Street Lights in Village-58,Supply and installation of 25 Solar Street Lights in Village-58,Village-58,Block-4,22.24551,70.83851,906686.0,908732.62,757222.75,2024-02-28,2024-03-29,2024-05-02,2024-10-18,Completed,Local Panchayat Works Unit,Public Works Department (PWD)
MPL-00049,Bihar,Patna,Patna Sahib,R. S. Prasad,Rural Connectivity & Roads,Widening of Rural Link Road connecting Village-21,Widening of Rural Link Road connecting Village-21,Village-21,Block-5,25.62224,85.07498,2658745.0,2589581.78,2301403.49,2023-05-17,2023-06-10,2023-06-25,2024-02-16,Completed,Bharat Engineers & Builders,District Rural Development Agency (DRDA)
MPL-00050,Gujarat,Rajkot,Rajkot,P. Rupala,Drinking Water & Sanitation,Construction of Public Toilets and Sanitation Block in Village-51,Construction of Public Toilets and Sanitation Block in Village-51,Village-51,Block-5,22.17179,70.88999,1045790.0,1005503.69,802584.04,2023-05-09,2023-06-02,2023-07-04,2023-09-20,Completed,Local Panchayat Works Unit,Minor Irrigation Division
MPL-00051,Gujarat,Rajkot,Rajkot,P. Rupala,Education & Schools,Solar Rooftop Power System installation for School at Village-78,Solar Rooftop Power System installation for School at Village-78,Village-78,Block-5,22.16586,70.78181,866861.0,858409.84,677602.58,2024-06-26,2024-07-06,2024-08-21,2025-03-22,Completed,Kisan Rural Developers,Minor Irrigation Division
MPL-00052,Gujarat,Rajkot,Rajkot,P. Rupala,Drinking Water & Sanitation,Drilling of Deep Borewell and Overhead Tank Setup at Village-148,Drilling of Deep Borewell and Overhead Tank Setup at Village-148,Village-148,Block-10,22.29505,70.84765,1065643.0,1113680.72,1065506.3,2024-10-27,2024-11-19,2024-12-21,2025-04-04,Completed,Sai Urban Works Pvt Ltd,Rural Engineering Service (RES)
MPL-00053,Karnataka,Bengaluru Rural,Bengaluru Rural,C. N. Manjunath,Community Infrastructure,Development of Community Center and Boundary Wall in Village-90,Development of Community Center and Boundary Wall in Village-90,Village-90,Block-8,13.00097,77.70136,1228184.0,1207711.2,1106642.98,2023-06-02,2023-06-14,2023-07-20,2024-01-22,Completed,Reliable Works Corporation,Public Works Department (PWD)
MPL-00054,Kerala,Wayanad,Wayanad,P. Gandhi,Rural Connectivity & Roads,Paver Block Road Construction in Village-30,Paver Block Road Construction in Village-30,Village-30,Block-8,11.65937,76.03827,923808.0,957518.73,875287.9,2022-12-03,2023-01-02,2023-02-28,2023-08-25,Completed,Kisan Rural Developers,Minor Irrigation Division
MPL-00055,Karnataka,Bengaluru Rural,Bengaluru Rural,C. N. Manjunath,Community Infrastructure,Construction of Community Hall at Village Village-69,Construction of Community Hall at Village Village-69,Village-69,Block-9,13.10351,77.65759,2151797.0,2072398.54,1692191.98,2024-05-01,2024-05-11,2024-06-02,,In Progress,National Civil Projects,District Rural Development Agency (DRDA)
MPL-00056,Madhya Pradesh,Indore,Indore,S. Lalwani,Community Infrastructure,Construction of Community Hall at Village Village-30,Construction of Community Hall at Village Village-30,Village-30,Block-4,22.72226,75.78973,1967726.0,2055695.3,1759762.76,2023-05-14,2023-06-07,2023-07-23,2023-12-04,Completed,Surya Shakti Engineering,Municipal Corporation
MPL-00057,Maharashtra,Nagpur,Nagpur,N. Gadkari,Education & Schools,Construction of Additional Classrooms at Govt High School Village-131,Construction of Additional Classrooms at Govt High School Village-131,Village-131,Block-10,21.07595,78.93897,2765088.0,2869975.05,2652294.75,2023-09-15,2023-10-10,2023-11-20,2024-05-27,Completed,Sai Urban Works Pvt Ltd,Minor Irrigation Division
MPL-00058,Maharashtra,Nagpur,Nagpur,N. Gadkari,Education & Schools,Solar Rooftop Power System installation for School at Village-124,Solar Rooftop Power System installation for School at Village-124,Village-124,Block-7,21.29003,79.00984,680944.0,669534.1,632502.87,2024-01-11,2024-01-22,2024-03-06,2024-06-22,Completed,Vanguard Infra Solutions,Rural Engineering Service (RES)
MPL-00059,Kerala,Wayanad,Wayanad,P. Gandhi,Education & Schools,Solar Rooftop Power System installation for School at Village-98,Solar Rooftop Power System installation for School at Village-98,Village-98,Block-8,11.57327,76.27161,702416.0,736722.98,658668.2,2024-10-16,2024-10-29,2024-11-22,2025-01-30,Completed,Kisan Rural Developers,Public Works Department (PWD)
MPL-00060,Karnataka,Bengaluru Rural,Bengaluru Rural,C. N. Manjunath,Community Infrastructure,Installation of Public Shed and Seating Area at Village-37,Installation of Public Shed and Seating Area at Village-37,Village-37,Block-9,13.01607,77.62561,614946.0,637756.37,609403.52,2023-02-24,2023-03-18,2023-05-02,2023-09-06,Completed,Shree Ganesh Construction Co,District Rural Development Agency (DRDA)
MPL-00061,Kerala,Wayanad,Wayanad,P. Gandhi,Education & Schools,Solar Rooftop Power System installation for School at Village-10,Solar Rooftop Power System installation for School at Village-10,Village-10,Block-3,11.8289,76.21011,823726.0,788175.69,732579.32,2023-10-03,2023-10-22,2023-11-20,2024-05-09,Completed,Shree Ganesh Construction Co,Municipal Corporation
MPL-00062,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Community Infrastructure,Development of Community Center and Boundary Wall in Village-15,Development of Community Center and Boundary Wall in Village-15,Village-15,Block-7,25.40536,82.8749,1107618.0,1091941.15,918443.53,2023-08-10,2023-09-08,2023-10-26,2024-06-16,Completed,Shree Ganesh Construction Co,Minor Irrigation Division
MPL-00063,Bihar,Patna,Patna Sahib,R. S. Prasad,Education & Schools,Solar Rooftop Power System installation for School at Village-37,Solar Rooftop Power System installation for School at Village-37,Village-37,Block-2,25.68549,85.25796,621733.0,619317.56,482584.93,2023-08-26,2023-09-19,2023-11-15,,In Progress,Reliable Works Corporation,Rural Engineering Service (RES)
MPL-00064,Kerala,Wayanad,Wayanad,P. Gandhi,Renewable Energy,Supply and installation of 25 Solar Street Lights in Village-109,Supply and installation of 25 Solar Street Lights in Village-109,Village-109,Block-5,11.60656,76.15358,861923.0,840383.39,821922.17,2023-07-13,2023-07-23,2023-08-31,2023-11-26,Completed,Local Panchayat Works Unit,District Rural Development Agency (DRDA)
MPL-00065,Madhya Pradesh,Indore,Indore,S. Lalwani,Rural Connectivity & Roads,Construction of CC Road and Drainage Channel at Village-145,Construction of CC Road and Drainage Channel at Village-145,Village-145,Block-4,22.80232,75.77674,3314177.0,3375754.24,3060313.2,2023-01-22,2023-02-20,2023-04-14,2023-08-25,Completed,Kisan Rural Developers,Rural Engineering Service (RES)
MPL-00066,Rajasthan,Jaipur,Jaipur,M. Joshi,Drinking Water & Sanitation,Drilling of Deep Borewell and Overhead Tank Setup at Village-25,Drilling of Deep Borewell and Overhead Tank Setup at Village-25,Village-25,Block-4,27.03529,75.73532,491337.0,481949.17,408913.72,2024-08-02,2024-08-16,2024-09-23,2024-12-15,Completed,Vanguard Infra Solutions,Rural Engineering Service (RES)
MPL-00067,Kerala,Wayanad,Wayanad,P. Gandhi,Renewable Energy,Supply and installation of 25 Solar Street Lights in Village-43,Supply and installation of 25 Solar Street Lights in Village-43,Village-43,Block-9,11.82427,76.02423,634726.0,661006.76,624098.37,2023-10-09,2023-10-30,2023-12-05,2024-06-01,Completed,Bharat Engineers & Builders,Municipal Corporation
MPL-00068,Gujarat,Rajkot,Rajkot,P. Rupala,Education & Schools,Construction of Additional Classrooms at Govt High School Village-68,Construction of Additional Classrooms at Govt High School Village-68,Village-68,Block-1,22.43599,70.6847,2325273.0,2237747.11,1884809.78,2024-10-21,2024-11-19,2024-12-20,2025-07-31,Completed,Bharat Engineers & Builders,Municipal Corporation
MPL-00069,Kerala,Wayanad,Wayanad,P. Gandhi,Renewable Energy,Installation of Solar LED High-Mast Lighting System at Village-17,Installation of Solar LED High-Mast Lighting System at Village-17,Village-17,Block-2,11.549,75.99316,733134.0,756876.94,713204.7,2023-10-20,2023-11-06,2024-01-01,2024-04-05,Completed,Surya Shakti Engineering,Public Works Department (PWD)
MPL-00070,Maharashtra,Nagpur,Nagpur,N. Gadkari,Education & Schools,Installation of Smart Classroom and Computer Lab in Village-95,Installation of Smart Classroom and Computer Lab in Village-95,Village-95,Block-7,21.26142,79.13468,1403055.0,1466105.59,1275300.1,2024-06-19,2024-07-07,2024-08-17,2024-11-24,Completed,Surya Shakti Engineering,Minor Irrigation Division
MPL-00071,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Rural Connectivity & Roads,Construction of CC Road and Drainage Channel at Village-114,Construction of CC Road and Drainage Channel at Village-114,Village-114,Block-8,25.2752,82.94334,2432594.0,2542195.78,2327104.7,2023-03-31,2023-04-12,2023-06-09,2024-01-20,Completed,Bharat Engineers & Builders,Public Works Department (PWD)
MPL-00072,Bihar,Patna,Patna Sahib,R. S. Prasad,Renewable Energy,Installation of Solar LED High-Mast Lighting System at Village-13,Installation of Solar LED High-Mast Lighting System at Village-13,Village-13,Block-6,25.67365,85.04975,574854.0,560112.96,424114.15,2024-07-18,2024-08-01,2024-08-29,,In Progress,Bharat Engineers & Builders,Rural Engineering Service (RES)
MPL-00073,Uttar Pradesh,Varanasi,Varanasi,N. Modi,Rural Connectivity & Roads,Construction of CC Road and Drainage Channel at Village-34,Construction of CC Road and Drainage Channel at Village-34,Village-34,Block-1,25.27507,83.06043,2632913.0,2567262.42,1980869.82,2024-10-23,2024-11-07,2024-11-23,,In Progress,Local Panchayat Works Unit,District Rural Development Agency (DRDA)
MPL-00074,Rajasthan,Jaipur,Jaipur,M. Joshi,Community Infrastructure,Construction of Community Hall at Village Village-108,Construction of Community Hall at Village Village-108,Village-108,Block-9,26.898,75.70376,2103281.0,2022020.59,1512400.82,2024-03-16,2024-04-04,2024-05-12,2024-08-07,Completed,Local Panchayat Works Unit,Public Works Department (PWD)
MPL-00075,Karnataka,Bengaluru Rural,Bengaluru Rural,C. N. Manjunath,Community Infrastructure,Construction of Community Hall at Village Village-123,Construction of Community Hall at Village Village-123,Village-123,Block-10,13.09699,77.4375,1842252.0,1828669.74,1349244.27,2024-03-03,2024-03-30,2024-04-18,2024-09-07,Completed,Sai Urban Works Pvt Ltd,Minor Irrigation Division
MPL-00076,Kerala,Wayanad,Wayanad,P. Gandhi,Education & Schools,Solar Rooftop Power System installation for School at Village-136,Solar Rooftop Power System installation for School at Village-136,Village-136,Block-7,11.73181,76.24531,654611.0,651581.16,577123.41,2023-03-19,2023-04-12,2023-06-10,,In Progress,Reliable Works Corporation,Rural Engineering Service (RES)
