contractor_id,contractor_name,registration_no,entity_type,primary_district,primary_state,incorporation_year,contact_email,total_projects_count,total_sanctioned_amount
CONTRACTOR-DEMO-0046,Classic Projects Ltd,REG-MA-2019-6279,CONTRACTOR,Bhopal,Madhya Pradesh,2019,contact@classicproje-demo.in,7,14500000.0
CONTRACTOR-DEMO-0047,Golden Civil Projects,REG-MA-2017-8244,CONTRACTOR,Jabalpur,Madhya Pradesh,2017,contact@goldencivilp-demo.in,4,8240000.0
CONTRACTOR-DEMO-0048,Shanti Rural Developers,REG-KE-2013-9375,CONTRACTOR,Wayanad,Kerala,2013,contact@shantirurald-demo.in,2,4270000.0
CONTRACTOR-DEMO-0049,National Buildcon Pvt Ltd,REG-KA-2021-3780,CONTRACTOR,Bengaluru Rural,Karnataka,2021,contact@nationalbuil-demo.in,6,7990000.0
CONTRACTOR-DEMO-0050,Sai Engineering Works,REG-KE-2011-5649,CONTRACTOR,Wayanad,Kerala,2011,contact@saiengineeri-demo.in,5,7690000.0
CONTRACTOR-DEMO-0051,Maruti Engineering Works,REG-KA-2020-6491,CONTRACTOR,Mysuru,Karnataka,2020,contact@marutiengine-demo.in,5,5380000.0
CONTRACTOR-DEMO-0052,Siddhartha Urban Works Pvt Ltd,REG-GU-2013-6085,CONTRACTOR,Surat,Gujarat,2013,contact@siddharthaur-demo.in,6,6760000.0
CONTRACTOR-DEMO-0053,Bharat Engineers & Builders,REG-UT-2013-3414,CONTRACTOR,Lucknow,Uttar Pradesh,2013,contact@bharatengine-demo.in,6,7710000.0
CONTRACTOR-DEMO-0054,Krishna Construction Co,REG-GU-2010-5011,CONTRACTOR,Rajkot,Gujarat,2010,contact@krishnaconst-demo.in,6,10730000.0
CONTRACTOR-DEMO-0055,Gitanjali Projects Ltd,REG-KA-2019-2193,CONTRACTOR,Bengaluru Rural,Karnataka,2019,contact@gitanjalipro-demo.in,8,10950000.0
CONTRACTOR-DEMO-0056,Om Construction Co,REG-MA-2016-4185,CONTRACTOR,Jabalpur,Madhya Pradesh,2016,contact@omconstructi-demo.in,7,10360000.0
CONTRACTOR-DEMO-0057,Universal Projects Ltd,REG-KE-2021-7291,CONTRACTOR,Ernakulam,Kerala,2021,contact@universalpro-demo.in,6,13770000.0
CONTRACTOR-DEMO-0058,Panchsheel Urban Works Pvt Ltd,REG-KA-2016-4997,CONTRACTOR,Bengaluru Rural,Karnataka,2016,contact@panchsheelur-demo.in,4,8550000.0
CONTRACTOR-DEMO-0059,National Rural Developers,REG-MA-2020-1090,CONTRACTOR,Pune,Maharashtra,2020,contact@nationalrura-demo.in,3,4630000.0
CONTRACTOR-DEMO-0060,Premier Contractors,REG-OD-2011-7965,CONTRACTOR,Cuttack,Odisha,2011,contact@premiercontr-demo.in,4,6320000.0
CONTRACTOR-DEMO-0061,Gitanjali Engineers & Builders,REG-UT-2012-9486,CONTRACTOR,Lucknow,Uttar Pradesh,2012,contact@gitanjalieng-demo.in,3,5680000.0
CONTRACTOR-DEMO-0062,Panchsheel Projects Ltd,REG-MA-2010-5082,CONTRACTOR,Jabalpur,Madhya Pradesh,2010,contact@panchsheelpr-demo.in,3,5500000.0
CONTRACTOR-DEMO-0063,Navnirman Infrastructure Ltd,REG-OD-2011-8478,CONTRACTOR,Ganjam,Odisha,2011,contact@navnirmaninf-demo.in,5,6780000.0
CONTRACTOR-DEMO-0064,Sai Civil Projects,REG-MA-2017-9702,CONTRACTOR,Pune,Maharashtra,2017,contact@saicivilproj-demo.in,6,10830000.0
CONTRACTOR-DEMO-0065,Kisan Enterprises,REG-KA-2019-6198,CONTRACTOR,Dharwad,Karnataka,2019,contact@kisanenterpr-demo.in,5,9840000.0
CONTRACTOR-DEMO-0066,Aditya Projects Ltd,REG-TE-2017-9270,CONTRACTOR,Warangal,Telangana,2017,contact@adityaprojec-demo.in,7,11940000.0
CONTRACTOR-DEMO-0067,Premier Infra Solutions,REG-MA-2018-8305,CONTRACTOR,Bhopal,Madhya Pradesh,2018,contact@premierinfra-demo.in,2,2410000.0
CONTRACTOR-DEMO-0068,National Civil Projects,REG-OD-2012-8777,CONTRACTOR,Cuttack,Odisha,2012,contact@nationalcivi-demo.in,1,2170000.0
CONTRACTOR-DEMO-0069,Samriddhi Infra Solutions,REG-MA-2014-5050,CONTRACTOR,Jabalpur,Madhya Pradesh,2014,contact@samriddhiinf-demo.in,3,5180000.0
CONTRACTOR-DEMO-0070,Alliance Projects Ltd,REG-TE-2020-5543,CONTRACTOR,Karimnagar,Telangana,2020,contact@allianceproj-demo.in,6,8410000.0
CONTRACTOR-DEMO-0071,Kisan Infra Solutions,REG-TE-2018-8939,CONTRACTOR,Warangal,Telangana,2018,contact@kisaninfraso-demo.in,11,19000000.0
CONTRACTOR-DEMO-0072,Sai Rural Developers,REG-TA-2013-5499,CONTRACTOR,Salem,Tamil Nadu,2013,contact@sairuraldeve-demo.in,5,5990000.0
CONTRACTOR-DEMO-0073,Gitanjali Engineering Works,REG-MA-2011-5681,CONTRACTOR,Jabalpur,Madhya Pradesh,2011,contact@gitanjalieng-demo.in,6,7340000.0
CONTRACTOR-DEMO-0074,Hindustan Urban Works Pvt Ltd,REG-UT-2014-6502,CONTRACTOR,Lucknow,Uttar Pradesh,2014,contact@hindustanurb-demo.in,10,14260000.0
CONTRACTOR-DEMO-0075,National Engineering Works,REG-RA-2018-2320,CONTRACTOR,Jodhpur,Rajasthan,2018,contact@nationalengi-demo.in,4,7370000.0
CONTRACTOR-DEMO-0076,Vanguard Infrastructure Ltd,REG-MA-2012-4788,CONTRACTOR,Pune,Maharashtra,2012,contact@vanguardinfr-demo.in,2,2910000.0
CONTRACTOR-DEMO-0077,Aditya Construction Co,REG-MA-2021-3503,CONTRACTOR,Indore,Madhya Pradesh,2021,contact@adityaconstr-demo.in,2,1820000.0
CONTRACTOR-DEMO-0078,Maruti Civil Projects,REG-KE-2013-2052,CONTRACTOR,Ernakulam,Kerala,2013,contact@maruticivilp-demo.in,6,7280000.0
CONTRACTOR-DEMO-0079,Balaji Civil Projects,REG-MA-2016-6421,CONTRACTOR,Bhopal,Madhya Pradesh,2016,contact@balajicivilp-demo.in,6,11190000.0
CONTRACTOR-DEMO-0080,Krishna Urban Works Pvt Ltd,REG-KA-2017-7812,CONTRACTOR,Dharwad,Karnataka,2017,contact@krishnaurban-demo.in,4,9300000.0
CONTRACTOR-DEMO-0081,Vanguard Urban Works Pvt Ltd,REG-GU-2013-7883,CONTRACTOR,Ahmedabad,Gujarat,2013,contact@vanguardurba-demo.in,9,12190000.0
CONTRACTOR-DEMO-0082,Siddhartha Construction Co,REG-MA-2019-1320,CONTRACTOR,Indore,Madhya Pradesh,2019,contact@siddharthaco-demo.in,5,7040000.0
CONTRACTOR-DEMO-0083,Maruti Buildcon Pvt Ltd,REG-OD-2019-7232,CONTRACTOR,Khordha,Odisha,2019,contact@marutibuildc-demo.in,3,3730000.0
CONTRACTOR-DEMO-0084,Apex Buildcon Pvt Ltd,REG-KA-2010-6763,CONTRACTOR,Bengaluru Rural,Karnataka,2010,contact@apexbuildcon-demo.in,2,4700000.0
CONTRACTOR-DEMO-0085,Kisan Rural Developers,REG-RA-2016-7865,CONTRACTOR,Jaipur,Rajasthan,2016,contact@kisanruralde-demo.in,6,6370000.0
CONTRACTOR-DEMO-0086,Swastik Buildcon Pvt Ltd,REG-KA-2021-9947,CONTRACTOR,Dharwad,Karnataka,2021,contact@swastikbuild-demo.in,7,12490000.0
CONTRACTOR-DEMO-0087,Swastik Infrastructure Ltd,REG-TE-2019-4613,CONTRACTOR,Nizamabad,Telangana,2019,contact@swastikinfra-demo.in,6,7600000.0
CONTRACTOR-DEMO-0088,Alliance Contractors,REG-KA-2013-5471,CONTRACTOR,Bengaluru Rural,Karnataka,2013,contact@alliancecont-demo.in,3,2600000.0
CONTRACTOR-DEMO-0089,Kisan Urban Works Pvt Ltd,REG-MA-2017-1475,CONTRACTOR,Bhopal,Madhya Pradesh,2017,contact@kisanurbanwo-demo.in,1,1190000.0
CONTRACTOR-DEMO-0090,Om Civil Projects,REG-MA-2015-7624,CONTRACTOR,Indore,Madhya Pradesh,2015,contact@omcivilproje-demo.in,4,4890000.0
CONTRACTOR-DEMO-0091,Reliable Construction Co,REG-KE-2012-8657,CONTRACTOR,Kozhikode,Kerala,2012,contact@reliablecons-demo.in,6,6940000.0
CONTRACTOR-DEMO-0092,Apex Infra Solutions,REG-OD-2012-9751,CONTRACTOR,Ganjam,Odisha,2012,contact@apexinfrasol-demo.in,2,2240000.0
CONTRACTOR-DEMO-0093,Reliable Infrastructure Ltd,REG-GU-2016-1444,CONTRACTOR,Rajkot,Gujarat,2016,contact@reliableinfr-demo.in,3,5100000.0
CONTRACTOR-DEMO-0094,Panchsheel Construction Co,REG-GU-2020-8022,CONTRACTOR,Surat,Gujarat,2020,contact@panchsheelco-demo.in,4,5940000.0
CONTRACTOR-DEMO-0095,Panchsheel Engineering Works,REG-MA-2017-3977,CONTRACTOR,Pune,Maharashtra,2017,contact@panchsheelen-demo.in,1,1780000.0
CONTRACTOR-DEMO-0096,Kisan Contractors,REG-GU-2014-7211,CONTRACTOR,Ahmedabad,Gujarat,2014,contact@kisancontrac-demo.in,7,5950000.0
CONTRACTOR-DEMO-0097,Surya Shakti Buildcon Pvt Ltd,REG-RA-2013-8449,CONTRACTOR,Jodhpur,Rajasthan,2013,contact@suryashaktib-demo.in,5,10110000.0
CONTRACTOR-DEMO-0098,Vanguard Civil Projects,REG-RA-2015-7211,CONTRACTOR,Jodhpur,Rajasthan,2015,contact@vanguardcivi-demo.in,6,5740000.0
CONTRACTOR-DEMO-0099,Maruti Infrastructure Ltd,REG-UT-2016-5133,CONTRACTOR,Gorakhpur,Uttar Pradesh,2016,contact@marutiinfras-demo.in,2,3150000.0
CONTRACTOR-DEMO-0100,Modern Civil Projects,REG-TE-2011-8705,CONTRACTOR,Karimnagar,Telangana,2011,contact@moderncivilp-demo.in,3,3460000.0
CONTRACTOR-DEMO-0101,Bharat Construction Co,REG-GU-2021-9837,CONTRACTOR,Rajkot,Gujarat,2021,contact@bharatconstr-demo.in,8,14730000.0
CONTRACTOR-DEMO-0102,Samriddhi Civil Projects,REG-GU-2015-4673,CONTRACTOR,Ahmedabad,Gujarat,2015,contact@samriddhiciv-demo.in,8,12520000.0
CONTRACTOR-DEMO-0103,Om Enterprises,REG-TA-2011-1659,CONTRACTOR,Salem,Tamil Nadu,2011,contact@omenterprise-demo.in,2,3470000.0
CONTRACTOR-DEMO-0104,Panchsheel Enterprises,REG-TE-2010-5051,CONTRACTOR,Warangal,Telangana,2010,contact@panchsheelen-demo.in,2,3770000.0
CONTRACTOR-DEMO-0105,Krishna Buildcon Pvt Ltd,REG-UT-2010-3496,CONTRACTOR,Varanasi,Uttar Pradesh,2010,contact@krishnabuild-demo.in,7,14750000.0
CONTRACTOR-DEMO-0106,Modern Engineering Works,REG-UT-2012-8758,CONTRACTOR,Lucknow,Uttar Pradesh,2012,contact@modernengine-demo.in,4,7360000.0
CONTRACTOR-DEMO-0107,Golden Construction Co,REG-KE-2011-4571,CONTRACTOR,Wayanad,Kerala,2011,contact@goldenconstr-demo.in,0,0.0
CONTRACTOR-DEMO-0108,Shanti Buildcon Pvt Ltd,REG-MA-2021-5198,CONTRACTOR,Jabalpur,Madhya Pradesh,2021,contact@shantibuildc-demo.in,4,4210000.0
CONTRACTOR-DEMO-0109,Surya Shakti Contractors,REG-TE-2015-3749,CONTRACTOR,Warangal,Telangana,2015,contact@suryashaktic-demo.in,7,7760000.0
CONTRACTOR-DEMO-0110,Surya Shakti Rural Developers,REG-TA-2019-2876,CONTRACTOR,Madurai,Tamil Nadu,2019,contact@suryashaktir-demo.in,4,6300000.0
CONTRACTOR-DEMO-0111,Modern Construction Co,REG-TE-2012-6096,CONTRACTOR,Warangal,Telangana,2012,contact@modernconstr-demo.in,6,12420000.0
CONTRACTOR-DEMO-0112,Hindustan Infrastructure Ltd,REG-MA-2019-1420,CONTRACTOR,Nagpur,Maharashtra,2019,contact@hindustaninf-demo.in,5,7140000.0
CONTRACTOR-DEMO-0113,Modern Buildcon Pvt Ltd,REG-OD-2014-7149,CONTRACTOR,Ganjam,Odisha,2014,contact@modernbuildc-demo.in,6,6610000.0
CONTRACTOR-DEMO-0114,Hindustan Contractors,REG-MA-2021-4249,CONTRACTOR,Indore,Madhya Pradesh,2021,contact@hindustancon-demo.in,3,3920000.0
CONTRACTOR-DEMO-0115,Reliable Urban Works Pvt Ltd,REG-GU-2019-4978,CONTRACTOR,Surat,Gujarat,2019,contact@reliableurba-demo.in,8,12290000.0
CONTRACTOR-DEMO-0116,Samriddhi Projects Ltd,REG-MA-2021-5941,CONTRACTOR,Nagpur,Maharashtra,2021,contact@samriddhipro-demo.in,4,4750000.0
CONTRACTOR-DEMO-0117,Riddhi Engineers & Builders,REG-OD-2020-2983,CONTRACTOR,Khordha,Odisha,2020,contact@riddhiengine-demo.in,4,5620000.0
CONTRACTOR-DEMO-0118,Om Rural Developers,REG-TE-2019-1672,CONTRACTOR,Nizamabad,Telangana,2019,contact@omruraldevel-demo.in,3,5550000.0
CONTRACTOR-DEMO-0119,Shiv Shakti Infrastructure Ltd,REG-RA-2018-8018,CONTRACTOR,Udaipur,Rajasthan,2018,contact@shivshaktiin-demo.in,10,20730000.0
CONTRACTOR-DEMO-0120,Golden Projects Ltd,REG-KE-2015-2129,CONTRACTOR,Wayanad,Kerala,2015,contact@goldenprojec-demo.in,4,6440000.0
CONTRACTOR-DEMO-0121,Apex Engineering Works,REG-KA-2020-6590,CONTRACTOR,Mysuru,Karnataka,2020,contact@apexengineer-demo.in,7,16180000.0
CONTRACTOR-DEMO-0122,Shanti Construction Co,REG-GU-2016-9031,CONTRACTOR,Rajkot,Gujarat,2016,contact@shanticonstr-demo.in,2,2570000.0
CONTRACTOR-DEMO-0123,Navnirman Urban Works Pvt Ltd,REG-MA-2016-6934,CONTRACTOR,Nagpur,Maharashtra,2016,contact@navnirmanurb-demo.in,1,1200000.0
CONTRACTOR-DEMO-0124,Samriddhi Construction Co,REG-TA-2017-3506,CONTRACTOR,Salem,Tamil Nadu,2017,contact@samriddhicon-demo.in,4,6950000.0
CONTRACTOR-DEMO-0125,Samriddhi Contractors,REG-MA-2012-9548,CONTRACTOR,Bhopal,Madhya Pradesh,2012,contact@samriddhicon-demo.in,1,1760000.0
CONTRACTOR-DEMO-0126,Swastik Engineers & Builders,REG-TA-2014-9817,CONTRACTOR,Salem,Tamil Nadu,2014,contact@swastikengin-demo.in,4,6150000.0
CONTRACTOR-DEMO-0127,Samriddhi Engineering Works,REG-TE-2017-8616,CONTRACTOR,Warangal,Telangana,2017,contact@samriddhieng-demo.in,1,960000.0
CONTRACTOR-DEMO-0128,Classic Infrastructure Ltd,REG-MA-2021-5397,CONTRACTOR,Bhopal,Madhya Pradesh,2021,contact@classicinfra-demo.in,8,18010000.0
CONTRACTOR-DEMO-0129,Mahalaxmi Engineers & Builders,REG-RA-2013-2419,CONTRACTOR,Jodhpur,Rajasthan,2013,contact@mahalaxmieng-demo.in,9,12030000.0
CONTRACTOR-DEMO-0130,Vikas Urban Works Pvt Ltd,REG-UT-2017-4995,CONTRACTOR,Gorakhpur,Uttar Pradesh,2017,contact@vikasurbanwo-demo.in,6,8700000.0
CONTRACTOR-DEMO-0131,Panchsheel Rural Developers,REG-TE-2017-7209,CONTRACTOR,Warangal,Telangana,2017,contact@panchsheelru-demo.in,3,8870000.0
CONTRACTOR-DEMO-0132,Riddhi Infrastructure Ltd,REG-RA-2010-9098,CONTRACTOR,Jodhpur,Rajasthan,2010,contact@riddhiinfras-demo.in,3,6690000.0
CONTRACTOR-DEMO-0133,Mahalaxmi Contractors,REG-OD-2015-3979,CONTRACTOR,Khordha,Odisha,2015,contact@mahalaxmicon-demo.in,6,11230000.0
CONTRACTOR-DEMO-0134,Shiv Shakti Engineering Works,REG-KA-2013-6813,CONTRACTOR,Bengaluru Rural,Karnataka,2013,contact@shivshaktien-demo.in,1,2060000.0
CONTRACTOR-DEMO-0135,Pragati Rural Developers,REG-TE-2014-6576,CONTRACTOR,Nizamabad,Telangana,2014,contact@pragatirural-demo.in,2,2830000.0
CONTRACTOR-DEMO-0136,Shree Ganesh Engineering Works,REG-UT-2019-5526,CONTRACTOR,Gorakhpur,Uttar Pradesh,2019,contact@shreeganeshe-demo.in,2,2960000.0
CONTRACTOR-DEMO-0137,Om Contractors,REG-KA-2010-9464,CONTRACTOR,Dharwad,Karnataka,2010,contact@omcontractor-demo.in,5,11180000.0
CONTRACTOR-DEMO-0138,Pragati Buildcon Pvt Ltd,REG-UT-2011-4954,CONTRACTOR,Varanasi,Uttar Pradesh,2011,contact@pragatibuild-demo.in,7,13710000.0
CONTRACTOR-DEMO-0139,Premier Enterprises,REG-KE-2016-9004,CONTRACTOR,Kozhikode,Kerala,2016,contact@premierenter-demo.in,3,2800000.0
CONTRACTOR-DEMO-0140,Krishna Enterprises,REG-KA-2013-8800,CONTRACTOR,Dharwad,Karnataka,2013,contact@krishnaenter-demo.in,2,3830000.0
CONTRACTOR-DEMO-0141,Alliance Engineering Works,REG-TA-2021-9041,CONTRACTOR,Salem,Tamil Nadu,2021,contact@allianceengi-demo.in,4,6260000.0
CONTRACTOR-DEMO-0142,Panchsheel Infra Solutions,REG-MA-2010-2524,CONTRACTOR,Jabalpur,Madhya Pradesh,2010,contact@panchsheelin-demo.in,5,6010000.0
CONTRACTOR-DEMO-0143,Mahalaxmi Rural Developers,REG-RA-2013-7625,CONTRACTOR,Jaipur,Rajasthan,2013,contact@mahalaxmirur-demo.in,2,3070000.0
CONTRACTOR-DEMO-0144,Navnirman Engineering Works,REG-KE-2013-6016,CONTRACTOR,Ernakulam,Kerala,2013,contact@navnirmaneng-demo.in,2,1850000.0
CONTRACTOR-DEMO-0145,Samriddhi Urban Works Pvt Ltd,REG-KE-2019-7046,CONTRACTOR,Wayanad,Kerala,2019,contact@samriddhiurb-demo.in,6,14870000.0
CONTRACTOR-DEMO-0146,Vikas Infrastructure Ltd,REG-KA-2018-9698,CONTRACTOR,Bengaluru Rural,Karnataka,2018,contact@vikasinfrast-demo.in,1,940000.0
CONTRACTOR-DEMO-0147,Alliance Engineers & Builders,REG-RA-2016-6419,CONTRACTOR,Udaipur,Rajasthan,2016,contact@allianceengi-demo.in,2,2110000.0
CONTRACTOR-DEMO-0148,National Engineers & Builders,REG-RA-2021-8434,CONTRACTOR,Udaipur,Rajasthan,2021,contact@nationalengi-demo.in,7,8150000.0
CONTRACTOR-DEMO-0149,Classic Buildcon Pvt Ltd,REG-UT-2014-5118,CONTRACTOR,Gorakhpur,Uttar Pradesh,2014,contact@classicbuild-demo.in,10,13520000.0
CONTRACTOR-DEMO-0150,Reliable Engineering Works,REG-UT-2011-4155,CONTRACTOR,Lucknow,Uttar Pradesh,2011,contact@reliableengi-demo.in,6,11930000.0
CONTRACTOR-DEMO-0151,Modern Projects Ltd,REG-RA-2011-9779,CONTRACTOR,Jodhpur,Rajasthan,2011,contact@modernprojec-demo.in,8,14670000.0
CONTRACTOR-DEMO-0152,National Construction Co,REG-TE-2021-4033,CONTRACTOR,Warangal,Telangana,2021,contact@nationalcons-demo.in,2,2200000.0
CONTRACTOR-DEMO-0153,Siddhartha Infrastructure Ltd,REG-UT-2013-8933,CONTRACTOR,Varanasi,Uttar Pradesh,2013,contact@siddharthain-demo.in,6,9950000.0
