case_id,project_id,case_title,assigned_to,status,priority,created_at,updated_at,review_category
CASE-MPLADS-DEMO-000409,MPLADS-DEMO-000409,Audit Review: Construction of High-Mast Light and Solar Substation Phase 3 at Village-CriticalSector-3,senior_auditor_patel,VERIFICATION_REQUIRED,CRITICAL,2024-04-23T10:30:00,2024-05-03T17:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000410,MPLADS-DEMO-000410,Audit Review: Construction of High-Mast Light and Solar Substation Phase 1 at Village-CriticalSector-4,lead_investigator_rao,UNDER_REVIEW,CRITICAL,2024-04-24T10:30:00,2024-05-06T13:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000411,MPLADS-DEMO-000411,Audit Review: Construction of High-Mast Light and Solar Substation Phase 2 at Village-CriticalSector-4,district_officer_sharma,ESCALATED,CRITICAL,2024-04-25T10:30:00,2024-05-10T11:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000412,MPLADS-DEMO-000412,Audit Review: Construction of High-Mast Light and Solar Substation Phase 3 at Village-CriticalSector-4,auditor_verma,ESCALATED,CRITICAL,2024-04-26T10:30:00,2024-05-06T16:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000413,MPLADS-DEMO-000413,Audit Review: Construction of High-Mast Light and Solar Substation Phase 1 at Village-CriticalSector-5,senior_auditor_patel,ESCALATED,CRITICAL,2024-04-27T10:30:00,2024-05-13T18:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000414,MPLADS-DEMO-000414,Audit Review: Construction of High-Mast Light and Solar Substation Phase 2 at Village-CriticalSector-5,lead_investigator_rao,UNDER_REVIEW,CRITICAL,2024-04-28T10:30:00,2024-05-08T11:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000415,MPLADS-DEMO-000415,Audit Review: Construction of High-Mast Light and Solar Substation Phase 3 at Village-CriticalSector-5,district_officer_sharma,VERIFICATION_REQUIRED,CRITICAL,2024-04-29T10:30:00,2024-05-14T16:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000416,MPLADS-DEMO-000416,Audit Review: Construction of High-Mast Light and Solar Substation Phase 1 at Village-CriticalSector-6,auditor_verma,ESCALATED,CRITICAL,2024-04-30T10:30:00,2024-05-15T12:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000417,MPLADS-DEMO-000417,Audit Review: Construction of High-Mast Light and Solar Substation Phase 2 at Village-CriticalSector-6,senior_auditor_patel,UNDER_REVIEW,CRITICAL,2024-05-01T10:30:00,2024-05-17T13:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000418,MPLADS-DEMO-000418,Audit Review: Construction of High-Mast Light and Solar Substation Phase 3 at Village-CriticalSector-6,lead_investigator_rao,VERIFICATION_REQUIRED,CRITICAL,2024-05-02T10:30:00,2024-05-20T11:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000419,MPLADS-DEMO-000419,Audit Review: Construction of High-Mast Light and Solar Substation Phase 1 at Village-CriticalSector-7,district_officer_sharma,ESCALATED,CRITICAL,2024-05-03T10:30:00,2024-05-17T12:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000420,MPLADS-DEMO-000420,Audit Review: Construction of High-Mast Light and Solar Substation Phase 2 at Village-CriticalSector-7,auditor_verma,VERIFICATION_REQUIRED,CRITICAL,2024-05-04T10:30:00,2024-05-06T11:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000421,MPLADS-DEMO-000421,Audit Review: Construction of High-Mast Light and Solar Substation Phase 3 at Village-CriticalSector-7,senior_auditor_patel,ESCALATED,CRITICAL,2024-05-05T10:30:00,2024-05-23T17:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000422,MPLADS-DEMO-000422,Audit Review: Construction of High-Mast Light and Solar Substation Phase 1 at Village-CriticalSector-8,lead_investigator_rao,UNDER_REVIEW,CRITICAL,2024-05-06T10:30:00,2024-05-20T11:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000423,MPLADS-DEMO-000423,Audit Review: Construction of High-Mast Light and Solar Substation Phase 2 at Village-CriticalSector-8,district_officer_sharma,VERIFICATION_REQUIRED,CRITICAL,2024-05-07T10:30:00,2024-05-18T18:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000424,MPLADS-DEMO-000424,Audit Review: Construction of High-Mast Light and Solar Substation Phase 3 at Village-CriticalSector-8,auditor_verma,ESCALATED,CRITICAL,2024-05-08T10:30:00,2024-05-24T14:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000425,MPLADS-DEMO-000425,Audit Review: Construction of High-Mast Light and Solar Substation Phase 1 at Village-CriticalSector-9,senior_auditor_patel,ESCALATED,CRITICAL,2024-05-09T10:30:00,2024-05-22T14:30:00,Multi-Modal Compound Risk Review
CASE-MPLADS-DEMO-000071,MPLADS-DEMO-000071,Audit Review: Supply and Erection of 30 Standalone Solar Street Lights in Village-158,lead_investigator_rao,VERIFICATION_REQUIRED,HIGH,2024-05-10T10:30:00,2024-05-12T12:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000072,MPLADS-DEMO-000072,Audit Review: Supply and Erection of 30 Standalone Solar Street Lights in Village-68,district_officer_sharma,ESCALATED,HIGH,2024-05-11T10:30:00,2024-05-21T11:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000073,MPLADS-DEMO-000073,Audit Review: Supply and Erection of 30 Standalone Solar Street Lights in Village-41,auditor_verma,ESCALATED,HIGH,2024-05-12T10:30:00,2024-05-17T18:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000074,MPLADS-DEMO-000074,Audit Review: Supply and Erection of 30 Standalone Solar Street Lights in Village-82,senior_auditor_patel,VERIFICATION_REQUIRED,HIGH,2024-05-13T10:30:00,2024-05-18T16:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000075,MPLADS-DEMO-000075,Audit Review: Supply and Erection of 30 Standalone Solar Street Lights in Village-81,lead_investigator_rao,VERIFICATION_REQUIRED,HIGH,2024-05-14T10:30:00,2024-05-19T11:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000076,MPLADS-DEMO-000076,Audit Review: Supply and Erection of 30 Standalone Solar Street Lights in Village-13,district_officer_sharma,VERIFICATION_REQUIRED,HIGH,2024-05-15T10:30:00,2024-05-24T14:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000077,MPLADS-DEMO-000077,Audit Review: Supply and Erection of 30 Standalone Solar Street Lights in Village-94,auditor_verma,VERIFICATION_REQUIRED,HIGH,2024-05-16T10:30:00,2024-06-01T17:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000078,MPLADS-DEMO-000078,Audit Review: Supply and Erection of 30 Standalone Solar Street Lights in Village-33,senior_auditor_patel,VERIFICATION_REQUIRED,HIGH,2024-05-17T10:30:00,2024-05-21T11:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000079,MPLADS-DEMO-000079,Audit Review: Supply and Erection of 30 Standalone Solar Street Lights in Village-122,lead_investigator_rao,UNDER_REVIEW,HIGH,2024-05-18T10:30:00,2024-05-20T11:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000080,MPLADS-DEMO-000080,Audit Review: Supply and Erection of 30 Standalone Solar Street Lights in Village-137,district_officer_sharma,VERIFICATION_REQUIRED,HIGH,2024-05-19T10:30:00,2024-06-01T11:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000081,MPLADS-DEMO-000081,Audit Review: Supply and Erection of 30 Standalone Solar Street Lights in Village-148,auditor_verma,UNDER_REVIEW,HIGH,2024-05-20T10:30:00,2024-05-26T16:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000082,MPLADS-DEMO-000082,Audit Review: Supply and Erection of 30 Standalone Solar Street Lights in Village-5,senior_auditor_patel,UNDER_REVIEW,HIGH,2024-05-21T10:30:00,2024-05-30T13:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000301,MPLADS-DEMO-000301,Audit Review: Paver block road and drain construction Part 1 at Village-Sundarpur,lead_investigator_rao,ESCALATED,HIGH,2024-05-22T10:30:00,2024-05-29T18:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000302,MPLADS-DEMO-000302,Audit Review: Paver block road and drain construction Part 2 at Village-Sundarpur,district_officer_sharma,VERIFICATION_REQUIRED,HIGH,2024-05-23T10:30:00,2024-06-02T18:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000303,MPLADS-DEMO-000303,Audit Review: Paver block road and drain construction Part 3 at Village-Sundarpur,auditor_verma,VERIFICATION_REQUIRED,HIGH,2024-05-24T10:30:00,2024-06-05T18:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000304,MPLADS-DEMO-000304,Audit Review: Paver block road and drain construction Part 1 at Village-Ramnagar,senior_auditor_patel,VERIFICATION_REQUIRED,HIGH,2024-05-25T10:30:00,2024-05-31T17:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000305,MPLADS-DEMO-000305,Audit Review: Paver block road and drain construction Part 2 at Village-Ramnagar,lead_investigator_rao,UNDER_REVIEW,HIGH,2024-05-26T10:30:00,2024-06-06T12:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000306,MPLADS-DEMO-000306,Audit Review: Paver block road and drain construction Part 3 at Village-Ramnagar,district_officer_sharma,VERIFICATION_REQUIRED,HIGH,2024-05-27T10:30:00,2024-06-04T18:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000307,MPLADS-DEMO-000307,Audit Review: Paver block road and drain construction Part 1 at Village-Shivpur,auditor_verma,UNDER_REVIEW,HIGH,2024-05-28T10:30:00,2024-06-05T14:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000308,MPLADS-DEMO-000308,Audit Review: Paver block road and drain construction Part 2 at Village-Shivpur,senior_auditor_patel,VERIFICATION_REQUIRED,HIGH,2024-05-29T10:30:00,2024-06-13T17:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000309,MPLADS-DEMO-000309,Audit Review: Paver block road and drain construction Part 3 at Village-Shivpur,lead_investigator_rao,VERIFICATION_REQUIRED,HIGH,2024-05-30T10:30:00,2024-06-04T17:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000310,MPLADS-DEMO-000310,Audit Review: Paver block road and drain construction Part 1 at Village-Kalyanpur,district_officer_sharma,VERIFICATION_REQUIRED,HIGH,2024-05-31T10:30:00,2024-06-17T12:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000311,MPLADS-DEMO-000311,Audit Review: Paver block road and drain construction Part 2 at Village-Kalyanpur,auditor_verma,ESCALATED,HIGH,2024-06-01T10:30:00,2024-06-04T16:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000312,MPLADS-DEMO-000312,Audit Review: Paver block road and drain construction Part 3 at Village-Kalyanpur,senior_auditor_patel,ESCALATED,HIGH,2024-06-02T10:30:00,2024-06-16T12:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000601,MPLADS-DEMO-000601,Audit Review: Installation of 10kW Rooftop Solar Power System at Primary Health Center Village-136,lead_investigator_rao,ESCALATED,HIGH,2024-06-03T10:30:00,2024-06-06T11:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000602,MPLADS-DEMO-000602,Audit Review: Installation of Community RO Water Purification Plant at Village-143,district_officer_sharma,VERIFICATION_REQUIRED,HIGH,2024-06-04T10:30:00,2024-06-11T15:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000603,MPLADS-DEMO-000603,Audit Review: Construction of Open Air Gymnasium and Seating Area at Village-94,auditor_verma,VERIFICATION_REQUIRED,HIGH,2024-06-05T10:30:00,2024-06-15T16:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000604,MPLADS-DEMO-000604,Audit Review: Upgradation of Rural Link Road connecting Hamlet to Main Highway at Village-156,senior_auditor_patel,ESCALATED,HIGH,2024-06-06T10:30:00,2024-06-21T14:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000605,MPLADS-DEMO-000605,Audit Review: Drilling of Deep Borewell and Solar-Powered Overhead Water Tank at Village-72,lead_investigator_rao,UNDER_REVIEW,HIGH,2024-06-07T10:30:00,2024-06-19T13:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000606,MPLADS-DEMO-000606,Audit Review: Construction of Public Sanitation Facility and Bathing Block in Village-19,district_officer_sharma,UNDER_REVIEW,HIGH,2024-06-08T10:30:00,2024-06-13T12:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000607,MPLADS-DEMO-000607,Audit Review: Installation of Solar LED High-Mast Lighting System at Market Yard Village-20,auditor_verma,ESCALATED,HIGH,2024-04-10T10:30:00,2024-04-14T15:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000608,MPLADS-DEMO-000608,Audit Review: Renovation and Expansion of Village Panchayat Bhavan in Village-57,senior_auditor_patel,ESCALATED,HIGH,2024-04-11T10:30:00,2024-04-23T14:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000609,MPLADS-DEMO-000609,Audit Review: Construction of Multipurpose Community Hall at Village Village-44,lead_investigator_rao,VERIFICATION_REQUIRED,HIGH,2024-04-12T10:30:00,2024-04-27T12:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000610,MPLADS-DEMO-000610,Audit Review: Installation of 10kW Rooftop Solar Power System at Primary Health Center Village-40,district_officer_sharma,ESCALATED,HIGH,2024-04-13T10:30:00,2024-04-29T14:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000611,MPLADS-DEMO-000611,Audit Review: Construction of Separate Girls Toilet and Wash Area in Govt High School Village-120,auditor_verma,UNDER_REVIEW,HIGH,2024-04-14T10:30:00,2024-04-20T13:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000612,MPLADS-DEMO-000612,Audit Review: Desilting and Deepening of Traditional Village Water Reservoir in Village-24,senior_auditor_patel,VERIFICATION_REQUIRED,HIGH,2024-04-15T10:30:00,2024-05-02T13:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000613,MPLADS-DEMO-000613,Audit Review: Installation of 10kW Rooftop Solar Power System at Primary Health Center Village-35,lead_investigator_rao,VERIFICATION_REQUIRED,HIGH,2024-04-16T10:30:00,2024-04-23T18:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000614,MPLADS-DEMO-000614,Audit Review: Installation of 10kW Rooftop Solar Power System at Primary Health Center Village-89,district_officer_sharma,UNDER_REVIEW,HIGH,2024-04-17T10:30:00,2024-04-21T15:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000615,MPLADS-DEMO-000615,Audit Review: Drilling of Deep Borewell and Solar-Powered Overhead Water Tank at Village-14,auditor_verma,ESCALATED,HIGH,2024-04-18T10:30:00,2024-04-28T18:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000616,MPLADS-DEMO-000616,Audit Review: Upgradation of Rural Link Road connecting Hamlet to Main Highway at Village-55,senior_auditor_patel,VERIFICATION_REQUIRED,HIGH,2024-04-19T10:30:00,2024-04-26T14:30:00,High-Priority Anomaly Review
CASE-MPLADS-DEMO-000051,MPLADS-DEMO-000051,Audit Review: Desilting and Deepening of Traditional Village Water Reservoir in Village-200,lead_investigator_rao,NEW,MEDIUM,2024-04-20T10:30:00,2024-04-30T18:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000052,MPLADS-DEMO-000052,Audit Review: Construction of Reinforced Concrete Irrigation Sluice Gate and Channel in Village-32,district_officer_sharma,VERIFIED,MEDIUM,2024-04-21T10:30:00,2024-05-06T12:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000053,MPLADS-DEMO-000053,Audit Review: Renovation and Expansion of Village Panchayat Bhavan in Village-14,auditor_verma,VERIFIED,MEDIUM,2024-04-22T10:30:00,2024-05-04T11:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000054,MPLADS-DEMO-000054,Audit Review: Construction of Culvert and Cross-Drainage Structure on Link Road Village-179,senior_auditor_patel,UNDER_REVIEW,MEDIUM,2024-04-23T10:30:00,2024-04-30T17:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000055,MPLADS-DEMO-000055,Audit Review: Installation of 10kW Rooftop Solar Power System at Primary Health Center Village-109,lead_investigator_rao,NEW,MEDIUM,2024-04-24T10:30:00,2024-05-12T18:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000056,MPLADS-DEMO-000056,Audit Review: Development of Public Recreation Shed and Boundary Wall in Village-184,district_officer_sharma,NEW,MEDIUM,2024-04-25T10:30:00,2024-05-11T18:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000057,MPLADS-DEMO-000057,Audit Review: Construction of Reinforced Concrete Irrigation Sluice Gate and Channel in Village-142,auditor_verma,VERIFIED,MEDIUM,2024-04-26T10:30:00,2024-05-08T15:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000058,MPLADS-DEMO-000058,Audit Review: Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-198,senior_auditor_patel,UNDER_REVIEW,MEDIUM,2024-04-27T10:30:00,2024-05-06T15:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000059,MPLADS-DEMO-000059,Audit Review: Installation of Community RO Water Purification Plant at Village-184,lead_investigator_rao,NEW,MEDIUM,2024-04-28T10:30:00,2024-05-04T14:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000060,MPLADS-DEMO-000060,Audit Review: Construction of Cement Concrete (CC) Road and Drain Channel at Village-193,district_officer_sharma,NEW,MEDIUM,2024-04-29T10:30:00,2024-05-11T17:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000111,MPLADS-DEMO-000111,Audit Review: Construction of Check Dam and Water Harvesting Percolation Tank at Village-172,auditor_verma,VERIFIED,MEDIUM,2024-04-30T10:30:00,2024-05-04T14:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000112,MPLADS-DEMO-000112,Audit Review: Installation of 10kW Rooftop Solar Power System at Primary Health Center Village-171,senior_auditor_patel,UNDER_REVIEW,MEDIUM,2024-05-01T10:30:00,2024-05-19T11:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000113,MPLADS-DEMO-000113,Audit Review: Construction of Cement Concrete (CC) Road and Drain Channel at Village-129,lead_investigator_rao,VERIFIED,MEDIUM,2024-05-02T10:30:00,2024-05-20T15:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000114,MPLADS-DEMO-000114,Audit Review: Construction of Additional Classrooms at Govt Senior Secondary School Village-96,district_officer_sharma,NEW,MEDIUM,2024-05-03T10:30:00,2024-05-12T17:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000115,MPLADS-DEMO-000115,Audit Review: Construction of Additional Classrooms at Govt Senior Secondary School Village-164,auditor_verma,UNDER_REVIEW,MEDIUM,2024-05-04T10:30:00,2024-05-08T16:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000116,MPLADS-DEMO-000116,Audit Review: Supply and Erection of 30 Standalone Solar Street Lights in Village-70,senior_auditor_patel,VERIFIED,MEDIUM,2024-05-05T10:30:00,2024-05-11T13:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000117,MPLADS-DEMO-000117,Audit Review: Construction of Reinforced Concrete Irrigation Sluice Gate and Channel in Village-102,lead_investigator_rao,VERIFIED,MEDIUM,2024-05-06T10:30:00,2024-05-08T17:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000118,MPLADS-DEMO-000118,Audit Review: Installation of 10kW Rooftop Solar Power System at Primary Health Center Village-89,district_officer_sharma,VERIFIED,MEDIUM,2024-05-07T10:30:00,2024-05-25T11:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000119,MPLADS-DEMO-000119,Audit Review: Drilling of Deep Borewell and Solar-Powered Overhead Water Tank at Village-142,auditor_verma,UNDER_REVIEW,MEDIUM,2024-05-08T10:30:00,2024-05-22T11:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000120,MPLADS-DEMO-000120,Audit Review: Development of Emergency Cold Storage and Pharmacy Room at Hospital Village-40,senior_auditor_patel,VERIFIED,MEDIUM,2024-05-09T10:30:00,2024-05-20T14:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000151,MPLADS-DEMO-000151,Audit Review: Construction of Community Hall at Village-Ward-10,lead_investigator_rao,UNDER_REVIEW,MEDIUM,2024-05-10T10:30:00,2024-05-26T13:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000152,MPLADS-DEMO-000152,Audit Review: Development of Community Hall in Village-Ward-10,district_officer_sharma,NEW,MEDIUM,2024-05-11T10:30:00,2024-05-26T13:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000153,MPLADS-DEMO-000153,Audit Review: Construction of Community Hall at Village-Ward-11,auditor_verma,VERIFIED,MEDIUM,2024-05-12T10:30:00,2024-05-25T17:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000154,MPLADS-DEMO-000154,Audit Review: Development of Community Hall in Village-Ward-11,senior_auditor_patel,UNDER_REVIEW,MEDIUM,2024-05-13T10:30:00,2024-05-19T12:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000155,MPLADS-DEMO-000155,Audit Review: Construction of Community Hall at Village-Ward-12,lead_investigator_rao,NEW,MEDIUM,2024-05-14T10:30:00,2024-05-16T18:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000156,MPLADS-DEMO-000156,Audit Review: Development of Community Hall in Village-Ward-12,district_officer_sharma,NEW,MEDIUM,2024-05-15T10:30:00,2024-06-01T11:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000157,MPLADS-DEMO-000157,Audit Review: Construction of Community Hall at Village-Ward-13,auditor_verma,UNDER_REVIEW,MEDIUM,2024-05-16T10:30:00,2024-05-28T15:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000158,MPLADS-DEMO-000158,Audit Review: Development of Community Hall in Village-Ward-13,senior_auditor_patel,NEW,MEDIUM,2024-05-17T10:30:00,2024-05-29T17:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000159,MPLADS-DEMO-000159,Audit Review: Construction of Community Hall at Village-Ward-14,lead_investigator_rao,VERIFIED,MEDIUM,2024-05-18T10:30:00,2024-06-02T16:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000160,MPLADS-DEMO-000160,Audit Review: Development of Community Hall in Village-Ward-14,district_officer_sharma,NEW,MEDIUM,2024-05-19T10:30:00,2024-05-21T13:30:00,Operational Discrepancy Review
CASE-MPLADS-DEMO-000801,MPLADS-DEMO-000801,Audit Review: Construction of Separate Girls Toilet and Wash Area in Govt High School Village-135,auditor_verma,CLOSED,LOW,2024-05-20T10:30:00,2024-06-01T13:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000802,MPLADS-DEMO-000802,Audit Review: Construction of Additional Classrooms at Govt Senior Secondary School Village-179,senior_auditor_patel,VERIFIED,LOW,2024-05-21T10:30:00,2024-06-08T17:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000803,MPLADS-DEMO-000803,Audit Review: Installation of Solar LED High-Mast Lighting System at Market Yard Village-10,lead_investigator_rao,CLOSED,LOW,2024-05-22T10:30:00,2024-06-03T15:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000804,MPLADS-DEMO-000804,Audit Review: Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-81,district_officer_sharma,VERIFIED,LOW,2024-05-23T10:30:00,2024-06-10T15:30:00,Routine Quality Audit Sample
CASE-MPLADS-DEMO-000805,MPLADS-DEMO-000805,Audit Review: Setup of Science Laboratory and Learning Resource Center in Village-171,auditor_verma,VERIFIED,LOW,2024-05-24T10:30:00,2024-05-31T15:30:00,Routine Quality Audit Sample
