evidence_id,project_id,evidence_type,title,file_name,mime_type,file_size_bytes,sha256_hash,phash,capture_timestamp,gps_latitude,gps_longitude,gps_distance_to_project_m,device_make,device_model,source
EV-DEMO-00011,MPLADS-DEMO-000006,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-Sundarpur,MPLADS-DEMO-000006_progress_stage.jpg,image/jpeg,211520,16b865c22a1f12375b989cca066202e30054b04fee8a5d62ec45dbdc35903f34,dda1494c73cf256d,2023-10-29 11:24:15,22.30426,70.802535,18.3,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00012,MPLADS-DEMO-000006,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-Sundarpur,MPLADS-DEMO-000006_verification_stage.jpg,image/jpeg,306159,92f7febd4b482775a9cb72bcb4a7e87392a8a5ca48e838b6d2f14907cbd5611b,44dcda6a797d76de,2024-02-01 15:42:10,22.30444,70.80219,34.9,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00013,MPLADS-DEMO-000007,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-Sundarpur,MPLADS-DEMO-000007_progress_stage.jpg,image/jpeg,330637,7e841f260606dd48b469d83319757248ff26a77000cafab712c08b62e405cd70,4a6f188a424e617b,2023-08-05 11:24:15,22.304355,70.80239,17.3,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00014,MPLADS-DEMO-000007,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-Sundarpur,MPLADS-DEMO-000007_verification_stage.jpg,image/jpeg,342810,a7f9b842c1e830d95e04289cf492b1a8d0537f16bc489e24016a94f08e332d91,d28a5c3917ef410a,2023-11-24 15:42:10,22.304069,70.802149,29.6,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00015,MPLADS-DEMO-000008,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-Navagam,MPLADS-DEMO-000008_progress_stage.jpg,image/jpeg,266270,6dc7e16178fa8b3ca2966a09d96c49d3a768e3b4e783cd5bc909afe084e9f1d9,357fbc5af71a1bfc,2023-09-01 11:24:15,22.415203,70.895403,0.5,OnePlus,Nord CE 2,eSAKSHI Mobile App
EV-DEMO-00016,MPLADS-DEMO-000008,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-Navagam,MPLADS-DEMO-000008_verification_stage.jpg,image/jpeg,342810,a7f9b842c1e830d95e04289cf492b1a8d0537f16bc489e24016a94f08e332d91,d28a5c3917ef410a,2023-10-25 15:42:10,22.415201,70.895298,10.5,OnePlus,Nord CE 2,eSAKSHI Mobile App
EV-DEMO-00017,MPLADS-DEMO-000009,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-Sundarpur,MPLADS-DEMO-000009_progress_stage.jpg,image/jpeg,233569,9ae56362c2d2786953743181cf2e0c7a723403e1e310dc881916f5d262afbde5,6a06e9ab85a0bcc1,2023-07-16 11:24:15,22.304151,70.802349,11.6,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00018,MPLADS-DEMO-000009,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-Sundarpur,MPLADS-DEMO-000009_verification_stage.jpg,image/jpeg,474091,34981bcc598255793dab30b03132ad04dabb07bf624cee0c25679e3341a7bf7e,1f70d5dc2e675fc7,2023-09-17 15:42:10,22.304158,70.802121,23.7,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00019,MPLADS-DEMO-000010,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-Sundarpur,MPLADS-DEMO-000010_progress_stage.jpg,image/jpeg,342810,a7f9b842c1e830d95e04289cf492b1a8d0537f16bc489e24016a94f08e332d91,d28a5c3917ef410a,2023-11-11 11:24:15,22.30396,70.802488,25.5,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00020,MPLADS-DEMO-000010,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-Sundarpur,MPLADS-DEMO-000010_verification_stage.jpg,image/jpeg,368693,abd3ec9ca4b59dcea7e40162b9fa997a11b4cf829b3eb4ef09ab8d733bd6d396,b9096a04e7d80068,2024-03-01 15:42:10,22.4821,70.9412,23418.5,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00021,MPLADS-DEMO-000011,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-59,MPLADS-DEMO-000011_progress_stage.jpg,image/jpeg,299383,61c9c502a47f23b1ef16935841697bb0d36b14b2f4eb7f677ea1b6a881533a6f,6b01a1c12a3a2107,2023-05-11 11:24:15,11.696236,78.137263,23.1,OnePlus,Nord CE 2,eSAKSHI Mobile App
EV-DEMO-00022,MPLADS-DEMO-000011,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-59,MPLADS-DEMO-000011_verification_stage.jpg,image/jpeg,431557,4782de84b7ababfc89b5bd9bc28e824bda11668a111702c1474d1b2f5d98edbb,e848f808f54d35bf,2023-07-04 15:42:10,11.696237,78.13763,28.2,OnePlus,Nord CE 2,eSAKSHI Mobile App
EV-DEMO-00023,MPLADS-DEMO-000012,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-92,MPLADS-DEMO-000012_progress_stage.jpg,image/jpeg,369605,c562ec708d8d7eb4d6391c43ff2fcfac8d5e1c19bade107ae8313eb8786a6a6a,c7859faeecc3f80c,2023-05-30 11:24:15,18.656247,78.047985,4.6,Apple,iPhone 13,eSAKSHI Mobile App
EV-DEMO-00024,MPLADS-DEMO-000012,SITE_IMAGE,Geo-tagged Asset Verification Photograph - Village-92,MPLADS-DEMO-000012_verification_stage.jpg,image/jpeg,307946,e9c55a423e035ba61d5ba09414de114fdd8df65588003c6023826e0b1608e5d6,62032801b65c1c28,2023-09-14 15:42:10,18.655947,78.047958,32.1,Apple,iPhone 13,eSAKSHI Mobile App
EV-DEMO-00025,MPLADS-DEMO-000013,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-150,MPLADS-DEMO-000013_progress_stage.jpg,image/jpeg,357252,211aae1a8dde5d6befd771a917baba9fb8f91b636118422cf856a1ecba69e3c4,c4bb895c608099f6,2024-06-20 11:24:15,11.638966,76.126814,15.3,Samsung,SM-A525F,eSAKSHI Mobile App
EV-DEMO-00026,MPLADS-DEMO-000013,SITE_IMAGE,Geo-tagged Asset Verification Photograph - Village-150,MPLADS-DEMO-000013_verification_stage.jpg,image/jpeg,302962,77c3b725fe9a25e6b3ddf94c91548a38492b57620589656366634f0d48d399fd,e81f9b0cbf4e7af6,2024-08-11 15:42:10,11.63899,76.127215,29.0,Samsung,SM-A525F,eSAKSHI Mobile App
EV-DEMO-00027,MPLADS-DEMO-000014,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-164,MPLADS-DEMO-000014_progress_stage.jpg,image/jpeg,394014,cf067b1a7bb52e3ec5235a6fbd802c55f6b0109127dc5e55769dd5334dc8c468,7ad98a70a603e9e1,2023-11-05 11:24:15,23.241396,80.011339,27.5,OnePlus,Nord CE 2,eSAKSHI Mobile App
EV-DEMO-00028,MPLADS-DEMO-000014,SITE_IMAGE,Geo-tagged Asset Verification Photograph - Village-164,MPLADS-DEMO-000014_verification_stage.jpg,image/jpeg,290697,4a2c5220a4c85d52b9a1c784f1f048c36b35c2a798454f84f40440e876e6cfa0,be0ae8fa1ceac2cc,2024-01-28 15:42:10,23.241822,80.011135,28.7,OnePlus,Nord CE 2,eSAKSHI Mobile App
EV-DEMO-00029,MPLADS-DEMO-000015,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-6,MPLADS-DEMO-000015_progress_stage.jpg,image/jpeg,233496,ce68decd36e6db3a31755547547d55e3ef29c1cf08cd65beb3c31a1e6db699bc,137c56af8c5187c1,2024-05-03 11:24:15,11.078862,76.976523,18.5,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00030,MPLADS-DEMO-000015,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-6,MPLADS-DEMO-000015_verification_stage.jpg,image/jpeg,449883,d96c0cec4ddd7073cb2b1d045a92e879a0f61ab5f790524cb37396d246f88cd4,cede24428a013fda,2024-08-20 15:42:10,11.079116,76.976348,20.5,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00031,MPLADS-DEMO-000016,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-163,MPLADS-DEMO-000016_progress_stage.jpg,image/jpeg,260730,9ff2fcfce80d365d7b3f558f74539ecd09ea95d6e7d8409ff66f2304df605399,783646bf0324aac3,2024-04-25 11:24:15,18.632231,78.06181,13.7,Apple,iPhone 13,eSAKSHI Mobile App
EV-DEMO-00032,MPLADS-DEMO-000016,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-163,MPLADS-DEMO-000016_verification_stage.jpg,image/jpeg,363058,e31e564db04f9209710cecae55a6e24173511fbe9fa3d820f0d82f95de7ae4ed,ed2ef1c113d1e9e3,2024-09-05 15:42:10,18.632074,78.061624,17.0,Apple,iPhone 13,eSAKSHI Mobile App
EV-DEMO-00033,MPLADS-DEMO-000017,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-188,MPLADS-DEMO-000017_progress_stage.jpg,image/jpeg,320394,1c77f84f043e378e6a62429434206cd92f7fecde913ef4645b26f7ec6caa2ef5,2ad1245c92010b38,2023-05-15 11:24:15,22.974466,72.62473,15.4,Xiaomi,Redmi Note 11,eSAKSHI Mobile App
EV-DEMO-00034,MPLADS-DEMO-000017,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-188,MPLADS-DEMO-000017_verification_stage.jpg,image/jpeg,255664,5a6fe5b58a4c4e8f145641edcbba125b5a8f437675acd1f8fa9457ee5dd5647e,5b6913cd87684f34,2023-10-03 15:42:10,22.974856,72.624493,34.3,Xiaomi,Redmi Note 11,eSAKSHI Mobile App
EV-DEMO-00035,MPLADS-DEMO-000018,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-76,MPLADS-DEMO-000018_progress_stage.jpg,image/jpeg,347702,f1faddc4bf01bfe5bb852e1260e741f1c8599bb4294eb8e6b5a5dd7947bedb2a,55dacb8f8c773fe6,2024-04-03 11:24:15,19.412236,84.968954,22.0,Apple,iPhone 13,eSAKSHI Mobile App
EV-DEMO-00036,MPLADS-DEMO-000018,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-76,MPLADS-DEMO-000018_verification_stage.jpg,image/jpeg,398110,d61711a07836e3b70188e3150be13eab47ddfa6aa0e410610fccc3bba2b5ce49,0ef152125425b7b2,2024-07-28 15:42:10,19.412168,84.968801,27.5,Apple,iPhone 13,eSAKSHI Mobile App
EV-DEMO-00037,MPLADS-DEMO-000019,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-68,MPLADS-DEMO-000019_progress_stage.jpg,image/jpeg,279714,8b78bedd3d1e4c9c3cfbafb9a1d5b705f49fde4074b5850adb35c57f39f154be,9b95f239ae97d9db,2024-08-09 11:24:15,18.677445,78.088202,21.3,OnePlus,Nord CE 2,eSAKSHI Mobile App
EV-DEMO-00038,MPLADS-DEMO-000019,SITE_IMAGE,Geo-tagged Asset Verification Photograph - Village-68,MPLADS-DEMO-000019_verification_stage.jpg,image/jpeg,440261,91dd01fb0b9db297a3f336e8bcd2bd5ccbad4e10754e8c950eeaef22108ffd6c,6bcefab3a3b48c4a,2024-11-09 15:42:10,18.677062,78.088292,22.6,OnePlus,Nord CE 2,eSAKSHI Mobile App
EV-DEMO-00039,MPLADS-DEMO-000020,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-157,MPLADS-DEMO-000020_progress_stage.jpg,image/jpeg,319067,f3e41620ecaa30b2b0fd137aca5f71c0aa487146815d5cf605e47be21f526e94,4279530735b8cfae,2023-09-17 11:24:15,9.888925,78.063216,22.5,Xiaomi,Redmi Note 11,eSAKSHI Mobile App
EV-DEMO-00040,MPLADS-DEMO-000020,SITE_IMAGE,Geo-tagged Asset Verification Photograph - Village-157,MPLADS-DEMO-000020_verification_stage.jpg,image/jpeg,478765,9a477ade5c988b5aa941f7a98779308faaebd65926c62d7543c291fad8e8c88f,94594d8b75673fca,2023-12-01 15:42:10,9.889253,78.062881,34.1,Xiaomi,Redmi Note 11,eSAKSHI Mobile App
EV-DEMO-00041,MPLADS-DEMO-000021,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-61,MPLADS-DEMO-000021_progress_stage.jpg,image/jpeg,194235,f9b651780e4d9b0d8320ac8bf5d7c5c2d6c4a512a0c82df95db1ae9eb1d96f25,550caef9618a9261,2024-03-18 11:24:15,13.114907,77.520334,13.1,Apple,iPhone 13,eSAKSHI Mobile App
EV-DEMO-00042,MPLADS-DEMO-000021,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-61,MPLADS-DEMO-000021_verification_stage.jpg,image/jpeg,249502,6e750f2106e2e958be44255df3058dac066bae0701b1200bdaafe5821e73386f,1c80317fa3b1799d,2024-07-23 15:42:10,13.114632,77.520659,33.7,Apple,iPhone 13,eSAKSHI Mobile App
EV-DEMO-00043,MPLADS-DEMO-000022,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-177,MPLADS-DEMO-000022_progress_stage.jpg,image/jpeg,405452,4a02f5a48d264d7cd691add1e6a59569334bfcae08125aeeb5e15ce3b1662c06,493cd01609de8895,2024-03-27 11:24:15,23.242914,77.405229,17.3,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00044,MPLADS-DEMO-000022,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-177,MPLADS-DEMO-000022_verification_stage.jpg,image/jpeg,352123,b39af8acc29f3b7041ea8914a4b2a8632ff9a579dcbb0485a7059148473f9d05,852010116895cea8,2024-04-17 15:42:10,23.243001,77.405166,10.7,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00045,MPLADS-DEMO-000023,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-117,MPLADS-DEMO-000023_progress_stage.jpg,image/jpeg,349135,c1d6d73cd5164d655889d36a92b613a1428266404854185e3dcba9be9887293e,6aedcf4a4599a084,2024-04-25 11:24:15,26.707589,83.335711,10.1,Apple,iPhone 13,eSAKSHI Mobile App
EV-DEMO-00046,MPLADS-DEMO-000023,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-117,MPLADS-DEMO-000023_verification_stage.jpg,image/jpeg,237160,661f1c4e738a3a85782883287a60ee834a6a941f335d2e67bd8ed69b0c1ce6e7,138dda71e3658966,2024-08-11 15:42:10,26.707566,83.335927,16.1,Apple,iPhone 13,eSAKSHI Mobile App
EV-DEMO-00047,MPLADS-DEMO-000024,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-54,MPLADS-DEMO-000024_progress_stage.jpg,image/jpeg,382479,bf14d008eab0d57ef5b47c9c30751f578f5003814c88cfa766ac6a38dee9b6ac,1001a6625a1298a1,2024-06-12 11:24:15,18.44989,79.169398,12.4,Samsung,SM-A525F,eSAKSHI Mobile App
EV-DEMO-00048,MPLADS-DEMO-000024,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-54,MPLADS-DEMO-000024_verification_stage.jpg,image/jpeg,477912,043f854444e73eab67c3d4db5fdc9142dfec8b1d4a8508ee882fbdd300f3bc3a,50c191728c541241,2024-09-25 15:42:10,18.450083,79.169592,29.9,Samsung,SM-A525F,eSAKSHI Mobile App
EV-DEMO-00049,MPLADS-DEMO-000025,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-29,MPLADS-DEMO-000025_progress_stage.jpg,image/jpeg,383085,cb1699b03ca034e2106313f8c086072198f66cf5f4a125e667857e4801706db1,582600e9111f4efd,2024-01-21 11:24:15,26.781338,83.311727,28.2,Samsung,SM-A525F,eSAKSHI Mobile App
EV-DEMO-00050,MPLADS-DEMO-000025,SITE_IMAGE,Geo-tagged Asset Verification Photograph - Village-29,MPLADS-DEMO-000025_verification_stage.jpg,image/jpeg,291828,5fae2b4edb349d75db7fe98c3f9d38ae015358cf5ca9db6244993fd4b7756c4d,db0eda407f5e8e61,2024-02-29 15:42:10,26.781306,83.311284,36.9,Samsung,SM-A525F,eSAKSHI Mobile App
EV-DEMO-00051,MPLADS-DEMO-000026,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-191,MPLADS-DEMO-000026_progress_stage.jpg,image/jpeg,192563,c55c29718f8bff552a07ede5ca8e349a935e72d8b9f16c4432178724b4c92c7e,d6a74dbe3e572e0f,2023-12-21 11:24:15,11.201982,75.773655,9.3,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00052,MPLADS-DEMO-000026,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-191,MPLADS-DEMO-000026_verification_stage.jpg,image/jpeg,226486,2d150ea6a07c11a76551b35dc58edaa8193839dcba149b7fd22a083abcf1bd3d,44b06badfa7576c5,2024-01-31 15:42:10,11.201782,75.773753,32.4,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00053,MPLADS-DEMO-000027,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-123,MPLADS-DEMO-000027_progress_stage.jpg,image/jpeg,197194,5dd033856b40fd6b388d1f50c46347e419a9cecfa34bc38a577155c9ff93352a,da6bb5639dfcfbd4,2023-05-06 11:24:15,11.709608,78.1366,26.7,OnePlus,Nord CE 2,eSAKSHI Mobile App
EV-DEMO-00054,MPLADS-DEMO-000027,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-123,MPLADS-DEMO-000027_verification_stage.jpg,image/jpeg,296824,3ba5d730efb6c0e1d37f81c845feba5ea51cf8fba6723532713e0eea9d93a0e4,fabf7430e9e4817a,2023-07-18 15:42:10,11.709245,78.136206,32.2,OnePlus,Nord CE 2,eSAKSHI Mobile App
EV-DEMO-00055,MPLADS-DEMO-000028,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-141,MPLADS-DEMO-000028_progress_stage.jpg,image/jpeg,381954,c0905ea947ad57b955bec45c3dfe9c95e0d32dc5fdd721bb9b9d5b235a38e443,fce5e9d717208331,2024-02-10 11:24:15,9.9528,78.104379,7.0,OnePlus,Nord CE 2,eSAKSHI Mobile App
EV-DEMO-00056,MPLADS-DEMO-000028,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-141,MPLADS-DEMO-000028_verification_stage.jpg,image/jpeg,381048,c21c82f2a51ff0752074cc6085b8c4ff3c833020065aa2098ace59267003cf99,d92b0703f7467ac9,2024-04-16 15:42:10,9.95298,78.104523,31.6,OnePlus,Nord CE 2,eSAKSHI Mobile App
EV-DEMO-00057,MPLADS-DEMO-000029,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-185,MPLADS-DEMO-000029_progress_stage.jpg,image/jpeg,315355,5391ef62d668156b5e33ab1e005b43fdbafe9796bccc470ed739e88fc0668aad,5e2502420ae59635,2023-11-12 11:24:15,20.510154,85.873892,15.7,Samsung,SM-A525F,eSAKSHI Mobile App
EV-DEMO-00058,MPLADS-DEMO-000029,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-185,MPLADS-DEMO-000029_verification_stage.jpg,image/jpeg,306390,e85a7d4025ebc92c301207a8516f5c169879218b69d0b93c7da0c47762be67b9,3278e0a594ac807a,2024-01-28 15:42:10,20.51011,85.874189,31.1,Samsung,SM-A525F,eSAKSHI Mobile App
EV-DEMO-00059,MPLADS-DEMO-000030,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-18,MPLADS-DEMO-000030_progress_stage.jpg,image/jpeg,199729,54d2cfcb197bd2791232fbd2a4d6cc318d6bc7e88512d6242bdcd14f390d1677,15a8f48f39643825,2024-05-22 11:24:15,24.532246,73.658507,9.2,Apple,iPhone 13,eSAKSHI Mobile App
EV-DEMO-00060,MPLADS-DEMO-000030,SITE_IMAGE,Geo-tagged Asset Verification Photograph - Village-18,MPLADS-DEMO-000030_verification_stage.jpg,image/jpeg,268894,7b9d64ff83f1dffb3fe5974931514e1ed82fd3bbdc055b408323d49cf98b2490,488e44f94ecc6c7f,2024-07-28 15:42:10,24.532283,73.658551,5.4,Apple,iPhone 13,eSAKSHI Mobile App
EV-DEMO-00061,MPLADS-DEMO-000031,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-106,MPLADS-DEMO-000031_progress_stage.jpg,image/jpeg,208882,ac1127a092b1643d5da8087a3a1bea89f9d52fb61bfdb1bd388c699a70c825af,2e843b2c7e96ba87,2024-08-17 11:24:15,26.220022,73.045748,17.7,Apple,iPhone 13,eSAKSHI Mobile App
EV-DEMO-00062,MPLADS-DEMO-000031,SITE_IMAGE,Geo-tagged Asset Verification Photograph - Village-106,MPLADS-DEMO-000031_verification_stage.jpg,image/jpeg,279432,33e3f4bcb2b839b718f495d3c7a7d3ccf059c15b2a23bad2941b1255ecfbab46,93447cbaed90dafc,2024-09-24 15:42:10,26.220048,73.045738,20.8,Apple,iPhone 13,eSAKSHI Mobile App
EV-DEMO-00063,MPLADS-DEMO-000032,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-58,MPLADS-DEMO-000032_progress_stage.jpg,image/jpeg,184389,741d6f30c764ac74526e076d915a46697c69499c728e07798f6fde6dd7439a26,71b9016371f4a4e4,2023-08-09 11:24:15,25.362559,82.954268,25.5,Samsung,SM-A525F,eSAKSHI Mobile App
EV-DEMO-00064,MPLADS-DEMO-000032,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-58,MPLADS-DEMO-000032_verification_stage.jpg,image/jpeg,301871,a1bdcb1a271564a3b0f8ddc75c1b53bacf2588d05a58a361fd084d476c304911,1ff63c0179e58218,2023-09-28 15:42:10,25.362821,82.954389,8.7,Samsung,SM-A525F,eSAKSHI Mobile App
EV-DEMO-00065,MPLADS-DEMO-000033,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-69,MPLADS-DEMO-000033_progress_stage.jpg,image/jpeg,253560,401468798f324f3f67170d12837900c77fb1a738b33cb63ae1dfec3b9fd32d3c,49f1b6106a2ca9a3,2023-03-11 11:24:15,19.318833,84.960678,17.8,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00066,MPLADS-DEMO-000033,COMPLETION_PHOTO,Geo-tagged Asset Verification Photograph - Village-69,MPLADS-DEMO-000033_verification_stage.jpg,image/jpeg,410008,cb80ddda8a03395847a1838ebae0c6323339b387fdacf0229cbec8aa077ea473,4fde580f122088a5,2023-05-27 15:42:10,19.318595,84.960707,26.8,Realme,Realme 9 Pro,eSAKSHI Mobile App
EV-DEMO-00067,MPLADS-DEMO-000034,PROGRESS_PHOTO,Site Inspection Photograph - Construction Stage - Village-24,MPLADS-DEMO-000034_progress_stage.jpg,image/jpeg,316818,4b1d7ad2f51c7340cb160cd5af388de6e4eb7c8926e6f85345229f6f447c7688,1db84aa91325af10,2023-09-21 11:24:15,11.290669,75.743268,17.7,Apple,iPhone 13,eSAKSHI Mobile App
