tender_id,project_id,tender_title,tender_reference_no,procurement_method,tender_stage,publishing_date,closing_date,award_date,estimated_tender_value,awarded_contract_value,winning_contractor_id,winning_contractor_name,bidder_count,status
TENDER-DEMO-00011,MPLADS-DEMO-000006,Procurement for Interlocking Paver Block Road and Drain Channel Part 3 in Village-Sundarpur,NIT/Rur/RAJ/2023/0012,Quotation / Direct Award,Notice Inviting Tender (NIT),2023-08-17,2023-08-31,2023-09-09,498659.5,488000.0,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,1,Completed
TENDER-DEMO-00012,MPLADS-DEMO-000006,Procurement for Interlocking Paver Block Road and Drain Channel Part 3 in Village-Sundarpur,WO/RAJ/2023/0013,E-Procurement,Work Order Issued,2023-09-07,2023-09-14,2023-09-21,488000.0,488000.0,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,1,Awarded
TENDER-DEMO-00013,MPLADS-DEMO-000007,Procurement for Widening of Rural Link Road connecting Village-Sundarpur,NIT/Pub/RAJ/2023/0014,E-Procurement,Notice Inviting Tender (NIT),2023-06-01,2023-06-14,2023-06-24,2471720.33,2400000.0,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,7,Completed
TENDER-DEMO-00014,MPLADS-DEMO-000007,Procurement for Widening of Rural Link Road connecting Village-Sundarpur,WO/RAJ/2023/0015,E-Procurement,Work Order Issued,2023-06-17,2023-06-25,2023-06-30,2400000.0,2400000.0,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,1,Awarded
TENDER-DEMO-00015,MPLADS-DEMO-000008,Procurement for Construction of CC Road and Drain in Village-Navagam,NIT/Rur/RAJ/2023/0016,E-Procurement,Notice Inviting Tender (NIT),2023-06-30,2023-07-11,2023-07-20,2254343.69,2200000.0,CONTRACTOR-DEMO-0004,Aditya Buildcon Pvt Ltd,4,Completed
TENDER-DEMO-00016,MPLADS-DEMO-000008,Procurement for Construction of CC Road and Drain in Village-Navagam,WO/RAJ/2023/0017,E-Procurement,Work Order Issued,2023-07-13,2023-07-20,2023-07-27,2200000.0,2200000.0,CONTRACTOR-DEMO-0004,Aditya Buildcon Pvt Ltd,1,Awarded
TENDER-DEMO-00017,MPLADS-DEMO-000009,Procurement for Installation of Community RO Water Purification Plant at Village-Sundarpur,NIT/Pan/RAJ/2023/0018,E-Procurement,Notice Inviting Tender (NIT),2023-05-02,2023-05-17,2023-05-25,755560.59,750000.0,CONTRACTOR-DEMO-0005,Shanti Contractors,5,Completed
TENDER-DEMO-00018,MPLADS-DEMO-000009,Procurement for Installation of Community RO Water Purification Plant at Village-Sundarpur,WO/RAJ/2023/0019,E-Procurement,Work Order Issued,2023-05-22,2023-06-01,2023-06-04,750000.0,750000.0,CONTRACTOR-DEMO-0005,Shanti Contractors,1,Awarded
TENDER-DEMO-00019,MPLADS-DEMO-000010,Procurement for Construction of Solar-Powered Community Facility and High-Mast Lighting at Village-Sundarpur,NIT/Pub/RAJ/2023/0020,Limited Tender,Notice Inviting Tender (NIT),2023-09-09,2023-09-28,2023-10-04,2400000.0,4850000.0,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,1,Completed
TENDER-DEMO-00020,MPLADS-DEMO-000010,Procurement for Construction of Solar-Powered Community Facility and High-Mast Lighting at Village-Sundarpur,WO/RAJ/2023/0021,E-Procurement,Work Order Issued,2023-09-27,2023-10-02,2023-10-04,4850000.0,4850000.0,CONTRACTOR-DEMO-0001,Apex Infrastructure Ltd,1,Awarded
TENDER-DEMO-00021,MPLADS-DEMO-000011,Procurement for Supply of Diagnostic Medical Equipment and Patient Beds to Rural Clinic in Village-59,NIT/Dis/SAL/2023/0022,E-Procurement,Notice Inviting Tender (NIT),2023-03-28,2023-04-11,2023-04-23,1133253.23,1120000.0,CONTRACTOR-DEMO-0015,Maruti Contractors,7,Completed
TENDER-DEMO-00022,MPLADS-DEMO-000011,Procurement for Supply of Diagnostic Medical Equipment and Patient Beds to Rural Clinic in Village-59,WO/SAL/2023/0023,E-Procurement,Work Order Issued,2023-04-07,2023-04-18,2023-04-21,1120000.0,1120000.0,CONTRACTOR-DEMO-0015,Maruti Contractors,1,Awarded
TENDER-DEMO-00023,MPLADS-DEMO-000012,Procurement for Construction of Open Air Gymnasium and Seating Area at Village-92,NIT/Mun/NIZ/2023/0024,Open Tender,Notice Inviting Tender (NIT),2023-04-18,2023-04-28,2023-05-09,1300439.22,1270000.0,CONTRACTOR-DEMO-0101,Bharat Construction Co,6,Completed
TENDER-DEMO-00024,MPLADS-DEMO-000012,Procurement for Construction of Open Air Gymnasium and Seating Area at Village-92,WO/NIZ/2023/0025,E-Procurement,Work Order Issued,2023-04-29,2023-05-11,2023-05-16,1270000.0,1270000.0,CONTRACTOR-DEMO-0101,Bharat Construction Co,1,Awarded
TENDER-DEMO-00025,MPLADS-DEMO-000013,Procurement for Laying of Underground Drinking Water Pipeline Distribution in Village-150,NIT/Pub/WAY/2024/0026,E-Procurement,Notice Inviting Tender (NIT),2024-05-05,2024-05-20,2024-05-26,1108554.63,1120000.0,CONTRACTOR-DEMO-0044,United Engineering Works,3,Completed
TENDER-DEMO-00026,MPLADS-DEMO-000013,Procurement for Laying of Underground Drinking Water Pipeline Distribution in Village-150,WO/WAY/2024/0027,E-Procurement,Work Order Issued,2024-05-27,2024-06-01,2024-06-03,1120000.0,1120000.0,CONTRACTOR-DEMO-0044,United Engineering Works,1,Awarded
TENDER-DEMO-00027,MPLADS-DEMO-000014,Procurement for Upgradation of Rural Link Road connecting Hamlet to Main Highway at Village-164,NIT/Dis/JAB/2023/0028,Open Tender,Notice Inviting Tender (NIT),2023-08-26,2023-09-09,2023-09-15,4613326.4,4530000.0,CONTRACTOR-DEMO-0150,Reliable Engineering Works,5,Completed
TENDER-DEMO-00028,MPLADS-DEMO-000014,Procurement for Upgradation of Rural Link Road connecting Hamlet to Main Highway at Village-164,WO/JAB/2023/0029,E-Procurement,Work Order Issued,2023-09-06,2023-09-12,2023-09-19,4530000.0,4530000.0,CONTRACTOR-DEMO-0150,Reliable Engineering Works,1,Awarded
TENDER-DEMO-00029,MPLADS-DEMO-000015,Procurement for Upgradation of Rural Link Road connecting Hamlet to Main Highway at Village-6,NIT/Mun/COI/2024/0030,Open Tender,Notice Inviting Tender (NIT),2024-02-06,2024-02-19,2024-02-24,3752610.51,3600000.0,CONTRACTOR-DEMO-0062,Panchsheel Projects Ltd,7,Completed
TENDER-DEMO-00030,MPLADS-DEMO-000015,Procurement for Upgradation of Rural Link Road connecting Hamlet to Main Highway at Village-6,WO/COI/2024/0031,E-Procurement,Work Order Issued,2024-02-29,2024-03-05,2024-03-07,3600000.0,3600000.0,CONTRACTOR-DEMO-0062,Panchsheel Projects Ltd,1,Awarded
TENDER-DEMO-00031,MPLADS-DEMO-000016,Procurement for Interlocking Paver Block Road Installation along Main Street in Village-163,NIT/Pan/NIZ/2024/0032,Open Tender,Notice Inviting Tender (NIT),2024-03-16,2024-04-04,2024-04-13,1759811.97,1760000.0,CONTRACTOR-DEMO-0083,Maruti Buildcon Pvt Ltd,4,Completed
TENDER-DEMO-00032,MPLADS-DEMO-000016,Procurement for Interlocking Paver Block Road Installation along Main Street in Village-163,WO/NIZ/2024/0033,E-Procurement,Work Order Issued,2024-04-02,2024-04-10,2024-04-16,1760000.0,1760000.0,CONTRACTOR-DEMO-0083,Maruti Buildcon Pvt Ltd,1,Awarded
TENDER-DEMO-00033,MPLADS-DEMO-000017,Procurement for Supply and Erection of 30 Standalone Solar Street Lights in Village-188,NIT/Dis/AHM/2023/0034,Open Tender,Notice Inviting Tender (NIT),2023-04-06,2023-04-24,2023-05-04,727197.63,700000.0,CONTRACTOR-DEMO-0046,Classic Projects Ltd,4,Completed
TENDER-DEMO-00034,MPLADS-DEMO-000017,Procurement for Supply and Erection of 30 Standalone Solar Street Lights in Village-188,WO/AHM/2023/0035,E-Procurement,Work Order Issued,2023-04-19,2023-04-29,2023-05-02,700000.0,700000.0,CONTRACTOR-DEMO-0046,Classic Projects Ltd,1,Awarded
TENDER-DEMO-00035,MPLADS-DEMO-000018,Procurement for Desilting and Deepening of Traditional Village Water Reservoir in Village-76,NIT/Pub/GAN/2024/0036,Open Tender,Notice Inviting Tender (NIT),2024-02-13,2024-02-29,2024-03-08,956844.6,940000.0,CONTRACTOR-DEMO-0097,Surya Shakti Buildcon Pvt Ltd,3,Completed
TENDER-DEMO-00036,MPLADS-DEMO-000018,Procurement for Desilting and Deepening of Traditional Village Water Reservoir in Village-76,WO/GAN/2024/0037,E-Procurement,Work Order Issued,2024-02-27,2024-03-04,2024-03-10,940000.0,940000.0,CONTRACTOR-DEMO-0097,Surya Shakti Buildcon Pvt Ltd,1,Awarded
TENDER-DEMO-00037,MPLADS-DEMO-000019,Procurement for Construction of Additional Classrooms at Govt Senior Secondary School Village-68,NIT/Pub/NIZ/2024/0038,Open Tender,Notice Inviting Tender (NIT),2024-05-24,2024-06-10,2024-06-16,2042464.56,2070000.0,CONTRACTOR-DEMO-0124,Samriddhi Construction Co,6,Completed
TENDER-DEMO-00038,MPLADS-DEMO-000019,Procurement for Construction of Additional Classrooms at Govt Senior Secondary School Village-68,WO/NIZ/2024/0039,E-Procurement,Work Order Issued,2024-06-08,2024-06-16,2024-06-21,2070000.0,2070000.0,CONTRACTOR-DEMO-0124,Samriddhi Construction Co,1,Awarded
TENDER-DEMO-00039,MPLADS-DEMO-000020,Procurement for Supply and Erection of 30 Standalone Solar Street Lights in Village-157,NIT/Dis/MAD/2023/0040,Open Tender,Notice Inviting Tender (NIT),2023-08-13,2023-08-25,2023-09-02,789654.73,790000.0,CONTRACTOR-DEMO-0013,Bharat Engineering Works,3,Completed
TENDER-DEMO-00040,MPLADS-DEMO-000020,Procurement for Supply and Erection of 30 Standalone Solar Street Lights in Village-157,WO/MAD/2023/0041,E-Procurement,Work Order Issued,2023-08-24,2023-09-02,2023-09-07,790000.0,790000.0,CONTRACTOR-DEMO-0013,Bharat Engineering Works,1,Awarded
TENDER-DEMO-00041,MPLADS-DEMO-000021,Procurement for Construction of Multipurpose Community Hall at Village Village-61,NIT/Mun/BEN/2024/0042,E-Procurement,Notice Inviting Tender (NIT),2024-01-19,2024-02-05,2024-02-13,1773329.72,1780000.0,CONTRACTOR-DEMO-0129,Mahalaxmi Engineers & Builders,3,Completed
TENDER-DEMO-00042,MPLADS-DEMO-000021,Procurement for Construction of Multipurpose Community Hall at Village Village-61,WO/BEN/2024/0043,E-Procurement,Work Order Issued,2024-02-03,2024-02-15,2024-02-20,1780000.0,1780000.0,CONTRACTOR-DEMO-0129,Mahalaxmi Engineers & Builders,1,Awarded
TENDER-DEMO-00043,MPLADS-DEMO-000022,Procurement for Construction of Cement Concrete (CC) Road and Drain Channel at Village-177,NIT/Pan/BHO/2024/0044,Open Tender,Notice Inviting Tender (NIT),2024-01-19,2024-02-09,2024-02-20,2286990.3,2200000.0,CONTRACTOR-DEMO-0019,Samriddhi Infrastructure Ltd,6,Completed
TENDER-DEMO-00044,MPLADS-DEMO-000022,Procurement for Construction of Cement Concrete (CC) Road and Drain Channel at Village-177,WO/BHO/2024/0045,E-Procurement,Work Order Issued,2024-01-29,2024-02-07,2024-02-10,2200000.0,2200000.0,CONTRACTOR-DEMO-0019,Samriddhi Infrastructure Ltd,1,Awarded
TENDER-DEMO-00045,MPLADS-DEMO-000023,Procurement for Installation of Community RO Water Purification Plant at Village-117,NIT/Pub/GOR/2024/0046,E-Procurement,Notice Inviting Tender (NIT),2024-02-26,2024-03-13,2024-03-23,1002545.6,1000000.0,CONTRACTOR-DEMO-0056,Om Construction Co,6,Completed
TENDER-DEMO-00046,MPLADS-DEMO-000023,Procurement for Installation of Community RO Water Purification Plant at Village-117,WO/GOR/2024/0047,E-Procurement,Work Order Issued,2024-03-15,2024-03-27,2024-04-02,1000000.0,1000000.0,CONTRACTOR-DEMO-0056,Om Construction Co,1,Awarded
TENDER-DEMO-00047,MPLADS-DEMO-000024,Procurement for Construction of Reinforced Concrete Irrigation Sluice Gate and Channel in Village-54,NIT/Mun/KAR/2024/0048,E-Procurement,Notice Inviting Tender (NIT),2024-04-13,2024-04-28,2024-05-05,1224797.92,1190000.0,CONTRACTOR-DEMO-0037,Classic Urban Works Pvt Ltd,7,Completed
TENDER-DEMO-00048,MPLADS-DEMO-000024,Procurement for Construction of Reinforced Concrete Irrigation Sluice Gate and Channel in Village-54,WO/KAR/2024/0049,E-Procurement,Work Order Issued,2024-04-27,2024-05-04,2024-05-09,1190000.0,1190000.0,CONTRACTOR-DEMO-0037,Classic Urban Works Pvt Ltd,1,Awarded
TENDER-DEMO-00049,MPLADS-DEMO-000025,Procurement for Construction of Check Dam and Water Harvesting Percolation Tank at Village-29,NIT/Rur/GOR/2023/0050,Open Tender,Notice Inviting Tender (NIT),2023-11-25,2023-12-08,2023-12-18,1115248.73,1110000.0,CONTRACTOR-DEMO-0017,Vikas Engineers & Builders,5,Completed
TENDER-DEMO-00050,MPLADS-DEMO-000025,Procurement for Construction of Check Dam and Water Harvesting Percolation Tank at Village-29,WO/GOR/2023/0051,E-Procurement,Work Order Issued,2023-12-07,2023-12-16,2023-12-19,1110000.0,1110000.0,CONTRACTOR-DEMO-0017,Vikas Engineers & Builders,1,Awarded
TENDER-DEMO-00051,MPLADS-DEMO-000026,Procurement for Construction of Additional Classrooms at Govt Senior Secondary School Village-191,NIT/Pan/KOZ/2023/0052,Open Tender,Notice Inviting Tender (NIT),2023-09-30,2023-10-19,2023-10-31,2429610.38,2320000.0,CONTRACTOR-DEMO-0081,Vanguard Urban Works Pvt Ltd,7,Completed
TENDER-DEMO-00052,MPLADS-DEMO-000026,Procurement for Construction of Additional Classrooms at Govt Senior Secondary School Village-191,WO/KOZ/2023/0053,E-Procurement,Work Order Issued,2023-10-21,2023-10-27,2023-11-01,2320000.0,2320000.0,CONTRACTOR-DEMO-0081,Vanguard Urban Works Pvt Ltd,1,Awarded
TENDER-DEMO-00053,MPLADS-DEMO-000027,Procurement for Construction of Multipurpose Community Hall at Village Village-123,NIT/Dis/SAL/2023/0054,E-Procurement,Notice Inviting Tender (NIT),2023-02-25,2023-03-13,2023-03-23,1336871.37,1330000.0,CONTRACTOR-DEMO-0036,Sai Projects Ltd,3,Completed
TENDER-DEMO-00054,MPLADS-DEMO-000027,Procurement for Construction of Multipurpose Community Hall at Village Village-123,WO/SAL/2023/0055,E-Procurement,Work Order Issued,2023-03-01,2023-03-12,2023-03-19,1330000.0,1330000.0,CONTRACTOR-DEMO-0036,Sai Projects Ltd,1,Awarded
TENDER-DEMO-00055,MPLADS-DEMO-000028,Procurement for Development of Emergency Cold Storage and Pharmacy Room at Hospital Village-141,NIT/Min/MAD/2023/0056,Open Tender,Notice Inviting Tender (NIT),2023-12-02,2023-12-18,2023-12-24,1980806.11,1960000.0,CONTRACTOR-DEMO-0171,Golden Contractors,5,Completed
TENDER-DEMO-00056,MPLADS-DEMO-000028,Procurement for Development of Emergency Cold Storage and Pharmacy Room at Hospital Village-141,WO/MAD/2023/0057,E-Procurement,Work Order Issued,2023-12-22,2023-12-31,2024-01-04,1960000.0,1960000.0,CONTRACTOR-DEMO-0171,Golden Contractors,1,Awarded
TENDER-DEMO-00057,MPLADS-DEMO-000029,Procurement for Construction of Reinforced Concrete Irrigation Sluice Gate and Channel in Village-185,NIT/Dis/CUT/2023/0058,Open Tender,Notice Inviting Tender (NIT),2023-08-24,2023-09-10,2023-09-17,1180239.52,1190000.0,CONTRACTOR-DEMO-0174,Maruti Projects Ltd,7,Completed
TENDER-DEMO-00058,MPLADS-DEMO-000029,Procurement for Construction of Reinforced Concrete Irrigation Sluice Gate and Channel in Village-185,WO/CUT/2023/0059,E-Procurement,Work Order Issued,2023-09-11,2023-09-16,2023-09-21,1190000.0,1190000.0,CONTRACTOR-DEMO-0174,Maruti Projects Ltd,1,Awarded
TENDER-DEMO-00059,MPLADS-DEMO-000030,Procurement for Laying of Underground Drinking Water Pipeline Distribution in Village-18,NIT/Mun/UDA/2024/0060,Open Tender,Notice Inviting Tender (NIT),2024-03-01,2024-03-11,2024-03-19,1331502.4,1350000.0,CONTRACTOR-DEMO-0147,Alliance Engineers & Builders,4,Completed
TENDER-DEMO-00060,MPLADS-DEMO-000030,Procurement for Laying of Underground Drinking Water Pipeline Distribution in Village-18,WO/UDA/2024/0061,E-Procurement,Work Order Issued,2024-03-22,2024-03-27,2024-03-31,1350000.0,1350000.0,CONTRACTOR-DEMO-0147,Alliance Engineers & Builders,1,Awarded
TENDER-DEMO-00061,MPLADS-DEMO-000031,Procurement for Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-106,NIT/Mun/JOD/2024/0062,Open Tender,Notice Inviting Tender (NIT),2024-06-08,2024-06-26,2024-07-05,2913745.13,2880000.0,CONTRACTOR-DEMO-0151,Modern Projects Ltd,5,Completed
TENDER-DEMO-00062,MPLADS-DEMO-000031,Procurement for Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-106,WO/JOD/2024/0063,E-Procurement,Work Order Issued,2024-06-14,2024-06-25,2024-06-29,2880000.0,2880000.0,CONTRACTOR-DEMO-0151,Modern Projects Ltd,1,Awarded
TENDER-DEMO-00063,MPLADS-DEMO-000032,Procurement for Laying of Underground Drinking Water Pipeline Distribution in Village-58,NIT/Mun/VAR/2023/0064,Open Tender,Notice Inviting Tender (NIT),2023-05-31,2023-06-13,2023-06-24,1272301.09,1270000.0,CONTRACTOR-DEMO-0010,Bharat Contractors,7,Completed
TENDER-DEMO-00064,MPLADS-DEMO-000032,Procurement for Laying of Underground Drinking Water Pipeline Distribution in Village-58,WO/VAR/2023/0065,E-Procurement,Work Order Issued,2023-06-12,2023-06-20,2023-06-22,1270000.0,1270000.0,CONTRACTOR-DEMO-0010,Bharat Contractors,1,Awarded
TENDER-DEMO-00065,MPLADS-DEMO-000033,Procurement for Development of Emergency Cold Storage and Pharmacy Room at Hospital Village-69,NIT/Rur/GAN/2023/0066,E-Procurement,Notice Inviting Tender (NIT),2023-01-27,2023-02-15,2023-02-22,2170384.11,2170000.0,CONTRACTOR-DEMO-0021,Apex Contractors,6,Completed
TENDER-DEMO-00066,MPLADS-DEMO-000033,Procurement for Development of Emergency Cold Storage and Pharmacy Room at Hospital Village-69,WO/GAN/2023/0067,E-Procurement,Work Order Issued,2023-02-05,2023-02-12,2023-02-15,2170000.0,2170000.0,CONTRACTOR-DEMO-0021,Apex Contractors,1,Awarded
TENDER-DEMO-00067,MPLADS-DEMO-000034,Procurement for Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-24,NIT/Mun/KOZ/2023/0068,E-Procurement,Notice Inviting Tender (NIT),2023-07-12,2023-07-25,2023-07-31,2826137.06,2870000.0,CONTRACTOR-DEMO-0044,United Engineering Works,3,Completed
TENDER-DEMO-00068,MPLADS-DEMO-000034,Procurement for Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-24,WO/KOZ/2023/0069,E-Procurement,Work Order Issued,2023-07-20,2023-07-27,2023-08-02,2870000.0,2870000.0,CONTRACTOR-DEMO-0044,United Engineering Works,1,Awarded
TENDER-DEMO-00069,MPLADS-DEMO-000035,Procurement for Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-70,NIT/Min/AHM/2023/0070,Open Tender,Notice Inviting Tender (NIT),2023-10-07,2023-10-24,2023-11-03,3019730.06,2930000.0,CONTRACTOR-DEMO-0177,Apex Enterprises,4,Completed
TENDER-DEMO-00070,MPLADS-DEMO-000035,Procurement for Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-70,WO/AHM/2023/0071,E-Procurement,Work Order Issued,2023-10-17,2023-10-25,2023-10-27,2930000.0,2930000.0,CONTRACTOR-DEMO-0177,Apex Enterprises,1,Awarded
TENDER-DEMO-00071,MPLADS-DEMO-000036,Procurement for Construction of Separate Girls Toilet and Wash Area in Govt High School Village-12,NIT/Pan/COI/2023/0072,Open Tender,Notice Inviting Tender (NIT),2023-04-30,2023-05-12,2023-05-21,538441.42,530000.0,CONTRACTOR-DEMO-0005,Shanti Contractors,3,Completed
TENDER-DEMO-00072,MPLADS-DEMO-000036,Procurement for Construction of Separate Girls Toilet and Wash Area in Govt High School Village-12,WO/COI/2023/0073,E-Procurement,Work Order Issued,2023-05-14,2023-05-25,2023-05-28,530000.0,530000.0,CONTRACTOR-DEMO-0005,Shanti Contractors,1,Awarded
TENDER-DEMO-00073,MPLADS-DEMO-000037,Procurement for Installation of Digital Smart Classroom and Computer Lab Infrastructure at Village-34,NIT/Pub/KOZ/2023/0074,Open Tender,Notice Inviting Tender (NIT),2023-07-13,2023-07-23,2023-08-04,1327824.3,1340000.0,CONTRACTOR-DEMO-0115,Reliable Urban Works Pvt Ltd,4,Completed
TENDER-DEMO-00074,MPLADS-DEMO-000037,Procurement for Installation of Digital Smart Classroom and Computer Lab Infrastructure at Village-34,WO/KOZ/2023/0075,E-Procurement,Work Order Issued,2023-07-23,2023-08-02,2023-08-08,1340000.0,1340000.0,CONTRACTOR-DEMO-0115,Reliable Urban Works Pvt Ltd,1,Awarded
TENDER-DEMO-00075,MPLADS-DEMO-000038,Procurement for Construction of Open Air Gymnasium and Seating Area at Village-148,NIT/Pan/JAB/2024/0076,Open Tender,Notice Inviting Tender (NIT),2024-06-03,2024-06-20,2024-06-28,1143386.08,1130000.0,CONTRACTOR-DEMO-0162,Reliable Enterprises,3,Completed
TENDER-DEMO-00076,MPLADS-DEMO-000038,Procurement for Construction of Open Air Gymnasium and Seating Area at Village-148,WO/JAB/2024/0077,E-Procurement,Work Order Issued,2024-06-19,2024-06-26,2024-07-03,1130000.0,1130000.0,CONTRACTOR-DEMO-0162,Reliable Enterprises,1,Awarded
TENDER-DEMO-00077,MPLADS-DEMO-000039,Procurement for Supply of Diagnostic Medical Equipment and Patient Beds to Rural Clinic in Village-23,NIT/Pub/KAR/2023/0078,E-Procurement,Notice Inviting Tender (NIT),2023-08-22,2023-09-02,2023-09-13,1533745.61,1550000.0,CONTRACTOR-DEMO-0047,Golden Civil Projects,5,Completed
TENDER-DEMO-00078,MPLADS-DEMO-000039,Procurement for Supply of Diagnostic Medical Equipment and Patient Beds to Rural Clinic in Village-23,WO/KAR/2023/0079,E-Procurement,Work Order Issued,2023-08-26,2023-09-07,2023-09-14,1550000.0,1550000.0,CONTRACTOR-DEMO-0047,Golden Civil Projects,1,Awarded
TENDER-DEMO-00079,MPLADS-DEMO-000040,Procurement for Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-136,NIT/Rur/MYS/2024/0080,E-Procurement,Notice Inviting Tender (NIT),2023-12-07,2023-12-25,2024-01-05,2803559.66,2690000.0,CONTRACTOR-DEMO-0069,Samriddhi Infra Solutions,6,Completed
TENDER-DEMO-00080,MPLADS-DEMO-000040,Procurement for Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-136,WO/MYS/2024/0081,E-Procurement,Work Order Issued,2023-12-23,2024-01-03,2024-01-07,2690000.0,2690000.0,CONTRACTOR-DEMO-0069,Samriddhi Infra Solutions,1,Awarded
TENDER-DEMO-00081,MPLADS-DEMO-000041,Procurement for Installation of Solar LED High-Mast Lighting System at Market Yard Village-195,NIT/Pan/NAS/2024/0082,Open Tender,Notice Inviting Tender (NIT),2024-02-22,2024-03-05,2024-03-17,840511.27,850000.0,CONTRACTOR-DEMO-0042,Balaji Construction Co,3,Completed
TENDER-DEMO-00082,MPLADS-DEMO-000041,Procurement for Installation of Solar LED High-Mast Lighting System at Market Yard Village-195,WO/NAS/2024/0083,E-Procurement,Work Order Issued,2024-03-15,2024-03-21,2024-03-27,850000.0,850000.0,CONTRACTOR-DEMO-0042,Balaji Construction Co,1,Awarded
TENDER-DEMO-00083,MPLADS-DEMO-000042,Procurement for Setup of Science Laboratory and Learning Resource Center in Village-162,NIT/Pub/SUR/2023/0084,E-Procurement,Notice Inviting Tender (NIT),2023-09-24,2023-10-08,2023-10-14,991638.47,970000.0,CONTRACTOR-DEMO-0077,Aditya Construction Co,6,Completed
