project_id,dataset_version,data_source_type,source_basis,state,district,constituency,mp_name,sector,title,description,block,village,latitude,longitude,has_valid_coords,sanctioned_amount,estimated_cost,expenditure,unspent_balance,recommendation_date,sanction_date,start_date,completion_date,status,contractor_id,contractor_name,implementing_agency
MPLADS-DEMO-000011,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Tamil Nadu,Salem,Salem,Representative Salem (Simulated),Healthcare Infrastructure,Supply of Diagnostic Medical Equipment and Patient Beds to Rural Clinic in Village-59,Supply of Diagnostic Medical Equipment and Patient Beds to Rural Clinic in Village-59. Execution by authorized implementing agency following standard technical specifications.,Block-10,Village-59,11.69638,78.137416,True,1120000.0,1143329.12,1021322.28,98677.72,2023-03-07,2023-04-18,2023-05-13,2023-08-03,Completed,CONTRACTOR-DEMO-0015,Maruti Contractors,District Rural Development Agency (DRDA)
MPLADS-DEMO-000012,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Telangana,Nizamabad,Nizamabad,Representative Nizamabad (Simulated),Community Infrastructure,Construction of Open Air Gymnasium and Seating Area at Village-92,Construction of Open Air Gymnasium and Seating Area at Village-92. Execution by authorized implementing agency following standard technical specifications.,Block-3,Village-92,18.656229,78.048024,True,1270000.0,1261064.46,1151653.89,118346.11,2023-04-17,2023-05-11,2023-06-06,,In Progress,CONTRACTOR-DEMO-0101,Bharat Construction Co,Municipal Corporation Public Works
MPLADS-DEMO-000013,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Kerala,Wayanad,Wayanad,Representative Wayanad (Simulated),Drinking Water & Sanitation,Laying of Underground Drinking Water Pipeline Distribution in Village-150,Laying of Underground Drinking Water Pipeline Distribution in Village-150. Execution by authorized implementing agency following standard technical specifications.,Block-1,Village-150,11.639005,76.126949,True,1120000.0,1116377.52,1011778.17,108221.83,2024-04-19,2024-06-01,2024-07-04,,In Progress,CONTRACTOR-DEMO-0044,United Engineering Works,Public Works Department (PWD)
MPLADS-DEMO-000014,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Madhya Pradesh,Jabalpur,Jabalpur,Representative Jabalpur (Simulated),Rural Connectivity & Roads,Upgradation of Rural Link Road connecting Hamlet to Main Highway at Village-164,Upgradation of Rural Link Road connecting Hamlet to Main Highway at Village-164. Execution by authorized implementing agency following standard technical specifications.,Block-5,Village-164,23.241564,80.011141,True,4530000.0,4655138.14,3605064.19,924935.81,2023-07-30,2023-09-12,2023-10-03,,In Progress,CONTRACTOR-DEMO-0150,Reliable Engineering Works,District Rural Development Agency (DRDA)
MPLADS-DEMO-000015,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Tamil Nadu,Coimbatore,Coimbatore,Representative Coimbatore (Simulated),Rural Connectivity & Roads,Upgradation of Rural Link Road connecting Hamlet to Main Highway at Village-6,Upgradation of Rural Link Road connecting Hamlet to Main Highway at Village-6. Execution by authorized implementing agency following standard technical specifications.,Block-7,Village-6,11.078933,76.97637,True,3600000.0,3458332.21,3416275.81,183724.19,2024-02-17,2024-03-05,2024-04-20,2024-09-15,Completed,CONTRACTOR-DEMO-0062,Panchsheel Projects Ltd,Municipal Corporation Public Works
MPLADS-DEMO-000016,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Telangana,Nizamabad,Nizamabad,Representative Nizamabad (Simulated),Rural Connectivity & Roads,Interlocking Paver Block Road Installation along Main Street in Village-163,Interlocking Paver Block Road Installation along Main Street in Village-163. Execution by authorized implementing agency following standard technical specifications.,Block-4,Village-163,18.632217,78.061681,True,1760000.0,1791106.72,1586836.69,173163.31,2024-03-19,2024-04-10,2024-05-01,2024-07-25,Completed,CONTRACTOR-DEMO-0083,Maruti Buildcon Pvt Ltd,Panchayati Raj Engineering Division
MPLADS-DEMO-000017,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Gujarat,Ahmedabad,Ahmedabad West,Representative Ahmedabad (Simulated),Renewable Energy,Supply and Erection of 30 Standalone Solar Street Lights in Village-188,Supply and Erection of 30 Standalone Solar Street Lights in Village-188. Execution by authorized implementing agency following standard technical specifications.,Block-9,Village-188,22.974584,72.624652,True,700000.0,713858.93,553278.05,146721.95,2023-03-23,2023-04-29,2023-06-16,2023-11-07,Completed,CONTRACTOR-DEMO-0046,Classic Projects Ltd,District Rural Development Agency (DRDA)
MPLADS-DEMO-000018,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Odisha,Ganjam,Aska,Representative Ganjam (Simulated),Irrigation & Water Conservation,Desilting and Deepening of Traditional Village Water Reservoir in Village-76,Desilting and Deepening of Traditional Village Water Reservoir in Village-76. Execution by authorized implementing agency following standard technical specifications.,Block-7,Village-76,19.412053,84.969033,True,940000.0,937618.52,721279.72,218720.28,2024-02-05,2024-03-04,2024-04-13,2024-11-16,Completed,CONTRACTOR-DEMO-0097,Surya Shakti Buildcon Pvt Ltd,Public Works Department (PWD)
MPLADS-DEMO-000019,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Telangana,Nizamabad,Nizamabad,Representative Nizamabad (Simulated),Education & Schools,Construction of Additional Classrooms at Govt Senior Secondary School Village-68,Construction of Additional Classrooms at Govt Senior Secondary School Village-68. Execution by authorized implementing agency following standard technical specifications.,Block-9,Village-68,18.677254,78.088222,True,2070000.0,2084003.15,1944052.88,125947.12,2024-05-10,2024-06-16,2024-07-07,,In Progress,CONTRACTOR-DEMO-0124,Samriddhi Construction Co,Public Works Department (PWD)
MPLADS-DEMO-000020,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Tamil Nadu,Madurai,Madurai,Representative Madurai (Simulated),Renewable Energy,Supply and Erection of 30 Standalone Solar Street Lights in Village-157,Supply and Erection of 30 Standalone Solar Street Lights in Village-157. Execution by authorized implementing agency following standard technical specifications.,Block-8,Village-157,9.888978,78.063018,True,790000.0,815873.3,647407.95,142592.05,2023-08-12,2023-09-02,2023-09-25,,In Progress,CONTRACTOR-DEMO-0013,Bharat Engineering Works,District Rural Development Agency (DRDA)
MPLADS-DEMO-000021,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Karnataka,Bengaluru Rural,Bengaluru Rural,Representative Bengaluru Rural (Simulated),Community Infrastructure,Construction of Multipurpose Community Hall at Village Village-61,Construction of Multipurpose Community Hall at Village Village-61. Execution by authorized implementing agency following standard technical specifications.,Block-2,Village-61,13.114844,77.520436,True,1780000.0,1761632.04,1723676.49,56323.51,2024-01-06,2024-02-15,2024-03-10,2024-06-18,Completed,CONTRACTOR-DEMO-0129,Mahalaxmi Engineers & Builders,Municipal Corporation Public Works
MPLADS-DEMO-000022,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Madhya Pradesh,Bhopal,Bhopal,Representative Bhopal (Simulated),Rural Connectivity & Roads,Construction of Cement Concrete (CC) Road and Drain Channel at Village-177,Construction of Cement Concrete (CC) Road and Drain Channel at Village-177. Execution by authorized implementing agency following standard technical specifications.,Block-8,Village-177,23.243069,77.40524,True,2200000.0,2262559.23,1700273.44,499726.56,2024-01-01,2024-02-07,2024-03-27,2024-09-09,Completed,CONTRACTOR-DEMO-0019,Samriddhi Infrastructure Ltd,Panchayati Raj Engineering Division
MPLADS-DEMO-000023,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Uttar Pradesh,Gorakhpur,Gorakhpur,Representative Gorakhpur (Simulated),Drinking Water & Sanitation,Installation of Community RO Water Purification Plant at Village-117,Installation of Community RO Water Purification Plant at Village-117. Execution by authorized implementing agency following standard technical specifications.,Block-8,Village-117,26.707518,83.335774,True,1000000.0,1007771.68,754912.21,245087.79,2024-02-21,2024-03-27,2024-04-26,2024-12-01,Completed,CONTRACTOR-DEMO-0056,Om Construction Co,Public Works Department (PWD)
MPLADS-DEMO-000024,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Telangana,Karimnagar,Karimnagar,Representative Karimnagar (Simulated),Irrigation & Water Conservation,Construction of Reinforced Concrete Irrigation Sluice Gate and Channel in Village-54,Construction of Reinforced Concrete Irrigation Sluice Gate and Channel in Village-54. Execution by authorized implementing agency following standard technical specifications.,Block-5,Village-54,18.44983,79.169497,True,1190000.0,1173678.87,932885.58,257114.42,2024-04-20,2024-05-04,2024-06-05,2024-09-25,Completed,CONTRACTOR-DEMO-0037,Classic Urban Works Pvt Ltd,Municipal Corporation Public Works
MPLADS-DEMO-000025,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Uttar Pradesh,Gorakhpur,Gorakhpur,Representative Gorakhpur (Simulated),Irrigation & Water Conservation,Construction of Check Dam and Water Harvesting Percolation Tank at Village-29,Construction of Check Dam and Water Harvesting Percolation Tank at Village-29. Execution by authorized implementing agency following standard technical specifications.,Block-10,Village-29,26.781537,83.311551,True,1110000.0,1097411.91,1033786.57,76213.43,2023-11-12,2023-12-16,2024-01-01,,In Progress,CONTRACTOR-DEMO-0017,Vikas Engineers & Builders,Rural Engineering Service (RES)
MPLADS-DEMO-000026,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Kerala,Kozhikode,Kozhikode,Representative Kozhikode (Simulated),Education & Schools,Construction of Additional Classrooms at Govt Senior Secondary School Village-191,Construction of Additional Classrooms at Govt Senior Secondary School Village-191. Execution by authorized implementing agency following standard technical specifications.,Block-2,Village-191,11.202063,75.773676,True,2320000.0,2322456.96,1798191.22,521808.78,2023-09-29,2023-10-27,2023-11-13,2024-06-08,Completed,CONTRACTOR-DEMO-0081,Vanguard Urban Works Pvt Ltd,Panchayati Raj Engineering Division
MPLADS-DEMO-000027,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Tamil Nadu,Salem,Salem,Representative Salem (Simulated),Community Infrastructure,Construction of Multipurpose Community Hall at Village Village-123,Construction of Multipurpose Community Hall at Village Village-123. Execution by authorized implementing agency following standard technical specifications.,Block-4,Village-123,11.709449,78.136416,True,1330000.0,1328964.61,1275777.48,54222.52,2023-02-21,2023-03-12,2023-04-16,2023-07-16,Completed,CONTRACTOR-DEMO-0036,Sai Projects Ltd,District Rural Development Agency (DRDA)
MPLADS-DEMO-000028,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Tamil Nadu,Madurai,Madurai,Representative Madurai (Simulated),Healthcare Infrastructure,Development of Emergency Cold Storage and Pharmacy Room at Hospital Village-141,Development of Emergency Cold Storage and Pharmacy Room at Hospital Village-141. Execution by authorized implementing agency following standard technical specifications.,Block-2,Village-141,9.95278,78.104318,True,1960000.0,1964791.31,1674534.91,285465.09,2023-11-20,2023-12-31,2024-01-21,2024-05-04,Completed,CONTRACTOR-DEMO-0171,Golden Contractors,Minor Irrigation Division
MPLADS-DEMO-000029,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Odisha,Cuttack,Cuttack,Representative Cuttack (Simulated),Irrigation & Water Conservation,Construction of Reinforced Concrete Irrigation Sluice Gate and Channel in Village-185,Construction of Reinforced Concrete Irrigation Sluice Gate and Channel in Village-185. Execution by authorized implementing agency following standard technical specifications.,Block-6,Village-185,20.510014,85.873909,True,1190000.0,1181795.05,1118964.64,71035.36,2023-08-07,2023-09-16,2023-10-07,2024-03-10,Completed,CONTRACTOR-DEMO-0174,Maruti Projects Ltd,District Rural Development Agency (DRDA)
MPLADS-DEMO-000030,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Rajasthan,Udaipur,Udaipur,Representative Udaipur (Simulated),Drinking Water & Sanitation,Laying of Underground Drinking Water Pipeline Distribution in Village-18,Laying of Underground Drinking Water Pipeline Distribution in Village-18. Execution by authorized implementing agency following standard technical specifications.,Block-9,Village-18,24.532259,73.658597,True,1350000.0,1306428.96,1241896.16,108103.84,2024-03-05,2024-03-27,2024-05-16,,In Progress,CONTRACTOR-DEMO-0147,Alliance Engineers & Builders,Municipal Corporation Public Works
MPLADS-DEMO-000031,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Rajasthan,Jodhpur,Jodhpur,Representative Jodhpur (Simulated),Healthcare Infrastructure,Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-106,Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-106. Execution by authorized implementing agency following standard technical specifications.,Block-7,Village-106,26.219868,73.045794,True,2880000.0,2964808.43,2637630.59,242369.41,2024-05-24,2024-06-25,2024-07-29,,In Progress,CONTRACTOR-DEMO-0151,Modern Projects Ltd,Municipal Corporation Public Works
MPLADS-DEMO-000032,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Uttar Pradesh,Varanasi,Varanasi,Representative Varanasi (Simulated),Drinking Water & Sanitation,Laying of Underground Drinking Water Pipeline Distribution in Village-58,Laying of Underground Drinking Water Pipeline Distribution in Village-58. Execution by authorized implementing agency following standard technical specifications.,Block-9,Village-58,25.362746,82.954415,True,1270000.0,1230872.35,1033869.77,236130.23,2023-05-10,2023-06-20,2023-08-09,2024-03-13,Completed,CONTRACTOR-DEMO-0010,Bharat Contractors,Municipal Corporation Public Works
MPLADS-DEMO-000033,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Odisha,Ganjam,Aska,Representative Ganjam (Simulated),Healthcare Infrastructure,Development of Emergency Cold Storage and Pharmacy Room at Hospital Village-69,Development of Emergency Cold Storage and Pharmacy Room at Hospital Village-69. Execution by authorized implementing agency following standard technical specifications.,Block-10,Village-69,19.318764,84.960525,True,2170000.0,2136839.74,1797106.49,372893.51,2023-01-18,2023-02-12,2023-03-08,2023-09-01,Completed,CONTRACTOR-DEMO-0021,Apex Contractors,Rural Engineering Service (RES)
MPLADS-DEMO-000034,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Kerala,Kozhikode,Kozhikode,Representative Kozhikode (Simulated),Healthcare Infrastructure,Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-24,Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-24. Execution by authorized implementing agency following standard technical specifications.,Block-5,Village-24,11.290795,75.743367,True,2870000.0,2859357.07,2256405.86,613594.14,2023-06-23,2023-07-27,2023-08-16,2023-12-08,Completed,CONTRACTOR-DEMO-0044,United Engineering Works,Municipal Corporation Public Works
MPLADS-DEMO-000035,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Gujarat,Ahmedabad,Ahmedabad West,Representative Ahmedabad (Simulated),Healthcare Infrastructure,Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-70,Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-70. Execution by authorized implementing agency following standard technical specifications.,Block-1,Village-70,23.015105,72.561522,True,2930000.0,2909884.67,2342771.93,587228.07,2023-10-04,2023-10-25,2023-12-01,2024-04-26,Completed,CONTRACTOR-DEMO-0177,Apex Enterprises,Minor Irrigation Division
MPLADS-DEMO-000036,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Tamil Nadu,Coimbatore,Coimbatore,Representative Coimbatore (Simulated),Education & Schools,Construction of Separate Girls Toilet and Wash Area in Govt High School Village-12,Construction of Separate Girls Toilet and Wash Area in Govt High School Village-12. Execution by authorized implementing agency following standard technical specifications.,Block-3,Village-12,10.980467,77.018778,True,530000.0,509125.93,434243.02,95756.98,2023-05-03,2023-05-25,2023-06-25,2023-10-08,Completed,CONTRACTOR-DEMO-0005,Shanti Contractors,Panchayati Raj Engineering Division
MPLADS-DEMO-000037,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Kerala,Kozhikode,Kozhikode,Representative Kozhikode (Simulated),Education & Schools,Installation of Digital Smart Classroom and Computer Lab Infrastructure at Village-34,Installation of Digital Smart Classroom and Computer Lab Infrastructure at Village-34. Execution by authorized implementing agency following standard technical specifications.,Block-5,Village-34,11.243227,75.806877,True,1340000.0,1346295.17,1210892.45,129107.55,2023-07-15,2023-08-02,2023-09-11,2023-12-05,Completed,CONTRACTOR-DEMO-0115,Reliable Urban Works Pvt Ltd,Public Works Department (PWD)
MPLADS-DEMO-000038,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Madhya Pradesh,Jabalpur,Jabalpur,Representative Jabalpur (Simulated),Community Infrastructure,Construction of Open Air Gymnasium and Seating Area at Village-148,Construction of Open Air Gymnasium and Seating Area at Village-148. Execution by authorized implementing agency following standard technical specifications.,Block-9,Village-148,23.172307,79.973975,True,1130000.0,1110972.17,952767.9,177232.1,2024-05-23,2024-06-26,2024-07-21,,In Progress,CONTRACTOR-DEMO-0162,Reliable Enterprises,Panchayati Raj Engineering Division
MPLADS-DEMO-000039,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Telangana,Karimnagar,Karimnagar,Representative Karimnagar (Simulated),Healthcare Infrastructure,Supply of Diagnostic Medical Equipment and Patient Beds to Rural Clinic in Village-23,Supply of Diagnostic Medical Equipment and Patient Beds to Rural Clinic in Village-23. Execution by authorized implementing agency following standard technical specifications.,Block-4,Village-23,18.430373,79.077562,True,1550000.0,1561020.04,1349292.65,200707.35,2023-08-05,2023-09-07,2023-10-13,,In Progress,CONTRACTOR-DEMO-0047,Golden Civil Projects,Public Works Department (PWD)
MPLADS-DEMO-000040,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Karnataka,Mysuru,Mysuru,Representative Mysuru (Simulated),Healthcare Infrastructure,Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-136,Construction of Maternity & Child Healthcare Ward at Primary Health Sub-Center Village-136. Execution by authorized implementing agency following standard technical specifications.,Block-7,Village-136,12.297094,76.69217,True,2690000.0,2657956.66,2610352.79,79647.21,2023-12-11,2024-01-03,2024-02-02,,In Progress,CONTRACTOR-DEMO-0069,Samriddhi Infra Solutions,Rural Engineering Service (RES)
MPLADS-DEMO-000041,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Maharashtra,Nashik,Nashik,Representative Nashik (Simulated),Renewable Energy,Installation of Solar LED High-Mast Lighting System at Market Yard Village-195,Installation of Solar LED High-Mast Lighting System at Market Yard Village-195. Execution by authorized implementing agency following standard technical specifications.,Block-6,Village-195,20.03119,73.734596,True,850000.0,849599.96,784994.16,65005.84,2024-02-08,2024-03-21,2024-04-25,2024-09-27,Completed,CONTRACTOR-DEMO-0042,Balaji Construction Co,Panchayati Raj Engineering Division
MPLADS-DEMO-000042,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Gujarat,Surat,Surat,Representative Surat (Simulated),Education & Schools,Setup of Science Laboratory and Learning Resource Center in Village-162,Setup of Science Laboratory and Learning Resource Center in Village-162. Execution by authorized implementing agency following standard technical specifications.,Block-3,Village-162,21.144567,72.801808,True,970000.0,958510.72,744051.94,225948.06,2023-09-08,2023-10-20,2023-11-06,,In Progress,CONTRACTOR-DEMO-0077,Aditya Construction Co,Public Works Department (PWD)
MPLADS-DEMO-000043,DEMO-SYNTHETIC-v1,SYNTHETIC_DEMONSTRATION,MPLADS_STYLE_STRUCTURE,Tamil Nadu,Salem,Salem,Representative Salem (Simulated),Irrigation & Water Conservation,Construction of Check Dam and Water Harvesting Percolation Tank at Village-158,Construction of Check Dam and Water Harvesting Percolation Tank at Village-158. Execution by authorized implementing agency following standard technical specifications.,Block-9,Village-158,11.67653,78.130983,True,1840000.0,1847995.37,1715097.29,124902.71,2024-04-17,2024-05-03,2024-06-15,2024-10-16,Completed,CONTRACTOR-DEMO-0086,Swastik Buildcon Pvt Ltd,Municipal Corporation Public Works
